version,2.2.0
info,balls_per_over,6
info,team,Bahrain
info,team,Kuwait
info,gender,male
info,season,2024/25
info,date,2024/12/14
info,event,Gulf T20I Championship
info,match_number,3
info,venue,"ICC Academy, Dubai"
info,city,Dubai
info,toss_winner,Kuwait
info,toss_decision,field
info,player_of_match,Imran Anwar
info,umpire,G Pillai
info,umpire,Shiju Sam
info,reserve_umpire,Rahat Ali
info,tv_umpire,Mohammad Nasim
info,match_referee,Iftikhar Ali
info,winner,Bahrain
info,winner_runs,4
info,player,Bahrain,P Kurup
info,player,Bahrain,Sarfaraz Ali
info,player,Bahrain,Imran Anwar
info,player,Bahrain,Asif Ali
info,player,Bahrain,Haider Butt
info,player,Bahrain,Ahmer Bin Nisar
info,player,Bahrain,Fiaz Ahmed
info,player,Bahrain,S Sarthak
info,player,Bahrain,Rizwan Butt
info,player,Bahrain,Abdul Majid Abbasi
info,player,Bahrain,Imran Khan
info,player,Kuwait,R Sandaruwan
info,player,Kuwait,CV Anto
info,player,Kuwait,Adnan Idrees
info,player,Kuwait,Meet Bhavsar
info,player,Kuwait,MNM Aslam
info,player,Kuwait,Yasin Patel
info,player,Kuwait,Muhammad Umar
info,player,Kuwait,Bilal Tahir
info,player,Kuwait,Sayed Monib
info,player,Kuwait,Mohamed Shafeeq
info,player,Kuwait,Mirza Ahmed
info,registry,people,Abdul Majid Abbasi,0cfb42b5
info,registry,people,Adnan Idrees,0e34c23a
info,registry,people,Ahmer Bin Nisar,afbc53ba
info,registry,people,Asif Ali,0a4736eb
info,registry,people,Bilal Tahir,3cf06094
info,registry,people,CV Anto,c01ca5af
info,registry,people,Fiaz Ahmed,df1f2f29
info,registry,people,G Pillai,c363921c
info,registry,people,Haider Butt,14fd10b5
info,registry,people,Iftikhar Ali,fc537391
info,registry,people,Imran Anwar,a9a18e3e
info,registry,people,Imran Khan,da3b91fd
info,registry,people,MNM Aslam,20481563
info,registry,people,Meet Bhavsar,b25a3800
info,registry,people,Mirza Ahmed,9a54c30a
info,registry,people,Mohamed Shafeeq,ff13b10c
info,registry,people,Mohammad Amin,01b45044
info,registry,people,Mohammad Nasim,0aaa8310
info,registry,people,Muhammad Salman,460fc0ba
info,registry,people,Muhammad Umar,0abc33ff
info,registry,people,P Kurup,50ceaef6
info,registry,people,R Sandaruwan,cf6acc0d
info,registry,people,Rahat Ali,458161f4
info,registry,people,Rizwan Butt,e741ed8f
info,registry,people,S Sarthak,9f2c6cd3
info,registry,people,Sarfaraz Ali,db95ddeb
info,registry,people,Sayed Monib,b9cfb0b1
info,registry,people,Shiju Sam,1e2f3eae
info,registry,people,Yasin Patel,ecdd8d60
