version,2.2.0
info,balls_per_over,6
info,team,Hong Kong
info,team,Kuwait
info,gender,male
info,season,2023/24
info,date,2023/10/30
info,event,ICC Men’s T20 World Cup Asia Qualifier Final
info,match_number,4
info,venue,Mulpani Cricket Ground
info,city,Kathmandu
info,toss_winner,Kuwait
info,toss_decision,field
info,player_of_match,M Coetzee
info,umpire,Sarika Prasad
info,umpire,V Kalidas
info,reserve_umpire,BB Pradhan
info,match_referee,Ali Naqvi
info,winner,Hong Kong
info,winner_runs,16
info,player,Hong Kong,M Coetzee
info,player,Hong Kong,Nizakat Khan
info,player,Hong Kong,Babar Hayat
info,player,Hong Kong,Anshuman Rath
info,player,Hong Kong,Yasim Murtaza
info,player,Hong Kong,Aizaz Khan
info,player,Hong Kong,Zeeshan Ali
info,player,Hong Kong,Nasrulla Rana
info,player,Hong Kong,A Shukla
info,player,Hong Kong,Ehsan Khan
info,player,Hong Kong,Mohammad Ghazanfar
info,player,Kuwait,Meet Bhavsar
info,player,Kuwait,R Sandaruwan
info,player,Kuwait,CV Anto
info,player,Kuwait,Usman Patel
info,player,Kuwait,MNM Aslam
info,player,Kuwait,Bilal Tahir
info,player,Kuwait,Sayed Monib
info,player,Kuwait,Parvindar Kumar
info,player,Kuwait,Shiraz Khan
info,player,Kuwait,Yasin Patel
info,player,Kuwait,Mohamed Shafeeq
info,registry,people,A Shukla,a1e80d06
info,registry,people,Aizaz Khan,f6c2659d
info,registry,people,Ali Naqvi,3c89fc88
info,registry,people,Anshuman Rath,552b228c
info,registry,people,BB Pradhan,8603d942
info,registry,people,Babar Hayat,fbb657bb
info,registry,people,Bilal Tahir,3cf06094
info,registry,people,CV Anto,c01ca5af
info,registry,people,Ehsan Khan,d3851cd8
info,registry,people,M Coetzee,3f149080
info,registry,people,MNM Aslam,20481563
info,registry,people,Meet Bhavsar,b25a3800
info,registry,people,Mohamed Shafeeq,ff13b10c
info,registry,people,Mohammad Ghazanfar,00321fff
info,registry,people,Nasrulla Rana,9ffb7550
info,registry,people,Nizakat Khan,e3eb9e46
info,registry,people,Parvindar Kumar,7a27bee5
info,registry,people,R Sandaruwan,cf6acc0d
info,registry,people,Sarika Prasad,8ff397fa
info,registry,people,Sayed Monib,b9cfb0b1
info,registry,people,Shiraz Khan,f310704c
info,registry,people,Usman Patel,415c6ccf
info,registry,people,V Kalidas,42d76418
info,registry,people,Yasim Murtaza,c9d05f1a
info,registry,people,Yasin Patel,ecdd8d60
info,registry,people,Zeeshan Ali,987187b9
