version,2.2.0
info,balls_per_over,6
info,team,Vanuatu
info,team,Fiji
info,gender,female
info,season,2024/25
info,date,2025/03/12
info,event,The Pacific-France Women Championship
info,match_number,5
info,venue,"N'Du Stadium, Noumea, New Caledonia"
info,city,Noumea
info,toss_winner,Vanuatu
info,toss_decision,bat
info,player_of_match,S Solman
info,winner,Vanuatu
info,winner_runs,38
info,player,Vanuatu,R Andrew
info,player,Vanuatu,V Langiatu
info,player,Vanuatu,N Navaika
info,player,Vanuatu,S Solman
info,player,Vanuatu,S Stephen
info,player,Vanuatu,V Mansale
info,player,Vanuatu,A Chilia
info,player,Vanuatu,V Vira
info,player,Vanuatu,G Chilia
info,player,Vanuatu,N Kakor
info,player,Vanuatu,N Simelum
info,player,Fiji,I Waqavakatoga
info,player,Fiji,S Sigaiwasa
info,player,Fiji,MSC Erasito
info,player,Fiji,M Biu
info,player,Fiji,S Vuni
info,player,Fiji,KV Vakuruivalu
info,player,Fiji,MT Waqanisau
info,player,Fiji,AK Gonerara
info,player,Fiji,AR Poulter
info,player,Fiji,J Rokoro
info,player,Fiji,A Levaci
info,registry,people,A Chilia,a0d07fd6
info,registry,people,A Levaci,6ff1d14f
info,registry,people,AK Gonerara,141ee9a0
info,registry,people,AR Poulter,2304ae3d
info,registry,people,G Chilia,daf255ce
info,registry,people,I Waqavakatoga,31d220f5
info,registry,people,J Rokoro,80b1465d
info,registry,people,KV Vakuruivalu,98db3666
info,registry,people,M Biu,c386183b
info,registry,people,MSC Erasito,ce02e769
info,registry,people,MT Waqanisau,dc86b56a
info,registry,people,N Kakor,1bc685ee
info,registry,people,N Navaika,b0023708
info,registry,people,N Simelum,daf546c7
info,registry,people,R Andrew,66c1accf
info,registry,people,S Sigaiwasa,b1414505
info,registry,people,S Solman,24ed1f75
info,registry,people,S Stephen,b48304b5
info,registry,people,S Vuni,951e08f0
info,registry,people,V Langiatu,fdd18ca0
info,registry,people,V Mansale,7163637f
info,registry,people,V Vira,94271647
