version,2.2.0
info,balls_per_over,6
info,team,Myanmar
info,team,Cambodia
info,gender,male
info,season,2023/24
info,date,2024/01/27
info,event,Asian Cricket Council Men's Challenger Cup
info,match_number,1
info,venue,"Terdthai Cricket Ground, Bangkok"
info,city,Bangkok
info,toss_winner,Cambodia
info,toss_decision,field
info,player_of_match,Luqman Butt
info,umpire,Hardeep Jadeja
info,umpire,Osama Saad Alnadwi
info,reserve_umpire,Samad Akbar
info,tv_umpire,N Sivan
info,match_referee,Iftikhar Ahmed
info,winner,Cambodia
info,winner_wickets,7
info,player,Myanmar,KK Lin Thu
info,player,Myanmar,Pyae Phyo Wai
info,player,Myanmar,Khin Aye
info,player,Myanmar,Paing Danu
info,player,Myanmar,H Lin Aung
info,player,Myanmar,H Lin Oo
info,player,Myanmar,Thuya Aung
info,player,Myanmar,Y Naing Tun
info,player,Myanmar,Nyeing Cham Soe
info,player,Myanmar,Aung Ko Ko
info,player,Myanmar,Myat Thu Aung
info,player,Cambodia,RR Sharan
info,player,Cambodia,US Hathinjar
info,player,Cambodia,Lakshit Gupta
info,player,Cambodia,Luqman Butt
info,player,Cambodia,E Beukes
info,player,Cambodia,Prasad Anish
info,player,Cambodia,GC Murtaza
info,player,Cambodia,Utkarsh Jain
info,player,Cambodia,Phon Bunthean
info,player,Cambodia,Manish Sharma
info,player,Cambodia,S Godara
info,registry,people,Aung Ko Ko,648d060e
info,registry,people,E Beukes,fbb8cf87
info,registry,people,GC Murtaza,6cc4d322
info,registry,people,H Lin Aung,c343a8c6
info,registry,people,H Lin Oo,2e005bfd
info,registry,people,Hardeep Jadeja,552cf5a2
info,registry,people,Iftikhar Ahmed,973d561e
info,registry,people,KK Lin Thu,6cf75582
info,registry,people,Khin Aye,ad2efd29
info,registry,people,Lakshit Gupta,52b090a6
info,registry,people,Luqman Butt,7a6decc8
info,registry,people,Manish Sharma,5473ec6f
info,registry,people,Myat Thu Aung,cebbf3c9
info,registry,people,N Sivan,8f4a0102
info,registry,people,Nyeing Cham Soe,45b5ce8d
info,registry,people,Osama Saad Alnadwi,a7e2fb32
info,registry,people,Paing Danu,1eb5affb
info,registry,people,Phon Bunthean,8981deb8
info,registry,people,Prasad Anish,a21d62c9
info,registry,people,Pyae Phyo Wai,09e86895
info,registry,people,RR Sharan,7cff331d
info,registry,people,S Godara,dd7dd27a
info,registry,people,Samad Akbar,f05bd21b
info,registry,people,Thuya Aung,2e092d2c
info,registry,people,US Hathinjar,5f77f23a
info,registry,people,Utkarsh Jain,1f4a78c5
info,registry,people,Y Naing Tun,97b109d2
