version,2.2.0
info,balls_per_over,6
info,team,Norway
info,team,Guernsey
info,gender,female
info,season,2024
info,date,2024/08/11
info,event,Nordic Women T20 Cup
info,match_number,10
info,venue,"Ekeberg Cricket Ground 1, Oslo"
info,city,Oslo
info,toss_winner,Guernsey
info,toss_decision,field
info,player_of_match,R Hubbard
info,winner,Guernsey
info,winner_wickets,7
info,player,Norway,AS Gorad
info,player,Norway,Nayab Alizai
info,player,Norway,Ayesha Hasan
info,player,Norway,R Immadi
info,player,Norway,Nayab Razwan
info,player,Norway,VB Viyala
info,player,Norway,Mirab Razwan
info,player,Norway,DS Gamage
info,player,Norway,Alina Aslam
info,player,Norway,Lopamudra
info,player,Norway,P Agrawal
info,player,Guernsey,M Robinson
info,player,Guernsey,Rosie Davis
info,player,Guernsey,PJ Stahelin
info,player,Guernsey,H Eulenkamp
info,player,Guernsey,R Hubbard
info,player,Guernsey,Emily Merrien
info,player,Guernsey,Alice Davis
info,player,Guernsey,K De La Mare
info,player,Guernsey,A Le Ray
info,player,Guernsey,C Jennings
info,player,Guernsey,R Merrien
info,registry,people,A Le Ray,4c7d4170
info,registry,people,AS Gorad,2c8d0953
info,registry,people,Alice Davis,18e71a72
info,registry,people,Alina Aslam,fbffb752
info,registry,people,Ayesha Hasan,6a3de477
info,registry,people,C Jennings,463e127a
info,registry,people,DS Gamage,00be46fe
info,registry,people,Emily Merrien,5257e839
info,registry,people,H Eulenkamp,17751f98
info,registry,people,K De La Mare,089aec60
info,registry,people,Lopamudra,ff4509d5
info,registry,people,M Robinson,262b1d7d
info,registry,people,Mirab Razwan,498031f9
info,registry,people,Nayab Alizai,7861375e
info,registry,people,Nayab Razwan,f12e21a0
info,registry,people,P Agrawal,bb1fcd51
info,registry,people,PJ Stahelin,472a8672
info,registry,people,R Hubbard,a1d4bc51
info,registry,people,R Immadi,baeae6dd
info,registry,people,R Merrien,3861da30
info,registry,people,Rosie Davis,06ae90c9
info,registry,people,VB Viyala,228a747d
