version,2.2.0
info,balls_per_over,6
info,team,Pakistan
info,team,New Zealand
info,gender,male
info,season,2023/24
info,date,2024/01/21
info,event,Pakistan tour of New Zealand
info,match_number,5
info,venue,"Hagley Oval, Christchurch"
info,city,Christchurch
info,toss_winner,Pakistan
info,toss_decision,bat
info,player_of_match,Iftikhar Ahmed
info,umpire,CM Brown
info,umpire,WR Knights
info,reserve_umpire,SB Haig
info,tv_umpire,Kim Cotton
info,match_referee,JJ Crowe
info,winner,Pakistan
info,winner_runs,42
info,player,Pakistan,Haseebullah Khan
info,player,Pakistan,Mohammad Rizwan
info,player,Pakistan,Babar Azam
info,player,Pakistan,Fakhar Zaman
info,player,Pakistan,Mohammad Nawaz
info,player,Pakistan,Iftikhar Ahmed
info,player,Pakistan,Sahibzada Farhan
info,player,Pakistan,Shaheen Shah Afridi
info,player,Pakistan,Abbas Afridi
info,player,Pakistan,Usama Mir
info,player,Pakistan,Zaman Khan
info,player,New Zealand,FH Allen
info,player,New Zealand,R Ravindra
info,player,New Zealand,TL Seifert
info,player,New Zealand,WA Young
info,player,New Zealand,MS Chapman
info,player,New Zealand,GD Phillips
info,player,New Zealand,MJ Santner
info,player,New Zealand,MJ Henry
info,player,New Zealand,IS Sodhi
info,player,New Zealand,TG Southee
info,player,New Zealand,LH Ferguson
info,registry,people,Abbas Afridi,2cec2a92
info,registry,people,Babar Azam,8a75e999
info,registry,people,CM Brown,448f4f1c
info,registry,people,FH Allen,bf74b130
info,registry,people,Fakhar Zaman,1777c020
info,registry,people,GD Phillips,9a46c4e5
info,registry,people,Haseebullah Khan,5691931a
info,registry,people,IS Sodhi,641ac5ff
info,registry,people,Iftikhar Ahmed,29e253dd
info,registry,people,JJ Crowe,2e760301
info,registry,people,Kim Cotton,67a7c2ee
info,registry,people,LH Ferguson,2f9d0389
info,registry,people,MJ Henry,e84ac20c
info,registry,people,MJ Santner,e4a0deae
info,registry,people,MS Chapman,7fa12533
info,registry,people,Mohammad Nawaz,3086f7a4
info,registry,people,Mohammad Rizwan,2f26ac1a
info,registry,people,R Ravindra,ba5e1069
info,registry,people,SB Haig,811655b3
info,registry,people,Sahibzada Farhan,1aba45cd
info,registry,people,Shaheen Shah Afridi,45a7e761
info,registry,people,TG Southee,13c35c9e
info,registry,people,TL Seifert,4663bd23
info,registry,people,Usama Mir,6dd8b88c
info,registry,people,WA Young,8afe73e2
info,registry,people,WR Knights,63cbf8d8
info,registry,people,Zaman Khan,28392e11
