version,2.2.0
info,balls_per_over,6
info,team,Kenya
info,team,Malawi
info,gender,male
info,season,2022/23
info,date,2022/11/18
info,event,ICC Men's T20 World Cup Sub Regional Africa Qualifier
info,match_number,7
info,venue,Gahanga International Cricket Stadium. Rwanda
info,city,Kigali City
info,toss_winner,Kenya
info,toss_decision,bat
info,umpire,L Rusere
info,umpire,Patric Makumbi
info,reserve_umpire,John Mayeku
info,match_referee,S Wadvalla
info,outcome,no result
info,player,Kenya,P Sharma
info,player,Kenya,CO Obuya
info,player,Kenya,IA Karim
info,player,Kenya,RR Patel
info,player,Kenya,Tanzeel Sheikh
info,player,Kenya,SR Bhudia
info,player,Kenya,LN Oluoch
info,player,Kenya,SO Ngoche
info,player,Kenya,P Koech
info,player,Kenya,Vraj Patel
info,player,Kenya,NM Odhiambo
info,player,Malawi,D Kansonkho
info,player,Malawi,G Kansonkho
info,player,Malawi,B Pondani
info,player,Malawi,C Chete
info,player,Malawi,D Jakiel
info,player,Malawi,A Limdawala
info,player,Malawi,GM Ntambalika
info,player,Malawi,B Masauko
info,player,Malawi,M Choamba
info,player,Malawi,MA Baig
info,player,Malawi,Sami Sohail
info,registry,people,A Limdawala,2bcbcac3
info,registry,people,B Masauko,47c66d8a
info,registry,people,B Pondani,e5117568
info,registry,people,C Chete,ef4f539a
info,registry,people,CO Obuya,5680f1ad
info,registry,people,D Jakiel,8b7ce771
info,registry,people,D Kansonkho,45ca12a7
info,registry,people,G Kansonkho,f3ca5af8
info,registry,people,GM Ntambalika,8c8a3f08
info,registry,people,IA Karim,ca92a578
info,registry,people,John Mayeku,9d819a32
info,registry,people,L Rusere,6a4734ae
info,registry,people,LN Oluoch,eb4f9c61
info,registry,people,M Choamba,5570c4c1
info,registry,people,MA Baig,89394502
info,registry,people,NM Odhiambo,c07a1f41
info,registry,people,P Koech,f4a0a615
info,registry,people,P Sharma,d047f983
info,registry,people,Patric Makumbi,e4c69c16
info,registry,people,RR Patel,7fa6bd8e
info,registry,people,S Wadvalla,c1a1acf3
info,registry,people,SO Ngoche,49118dc7
info,registry,people,SR Bhudia,e9173fb0
info,registry,people,Sami Sohail,602ebd4c
info,registry,people,Tanzeel Sheikh,5493ad5c
info,registry,people,Vraj Patel,2af28253
