version,2.2.0
info,balls_per_over,6
info,team,Hong Kong
info,team,Nepal
info,gender,female
info,season,2023
info,date,2023/08/22
info,event,Women's T20 Quadrangular Series (in Malaysia)
info,match_number,2
info,venue,"Bayuemas Oval, Kuala Lumpur"
info,city,Kuala Lumpur
info,toss_winner,Nepal
info,toss_decision,field
info,player_of_match,SR Magar
info,umpire,N Sivan
info,umpire,Rudy Ismandy
info,reserve_umpire,D Sevakumaran
info,match_referee,B Ramani
info,winner,Nepal
info,winner_wickets,6
info,player,Hong Kong,Y Daswani
info,player,Hong Kong,M Hill
info,player,Hong Kong,SYD Chan
info,player,Hong Kong,KY Chan
info,player,Hong Kong,Shanzeen Shahzad
info,player,Hong Kong,M Bibi
info,player,Hong Kong,Chan Ka Man
info,player,Hong Kong,Ruchitha Venkatesh
info,player,Hong Kong,Hiu Ying Cheung
info,player,Hong Kong,Iqra Sahar
info,player,Hong Kong,M Wai Siu
info,player,Nepal,Puja Mahato
info,player,Nepal,B Rawal
info,player,Nepal,I Barma
info,player,Nepal,Samjhana Khadka
info,player,Nepal,RC Belbashi
info,player,Nepal,SR Magar
info,player,Nepal,K Shrestha
info,player,Nepal,K Joshi
info,player,Nepal,Apsari Begam
info,player,Nepal,A Karmacharya
info,player,Nepal,K Kunwar
info,registry,people,A Karmacharya,e1492aed
info,registry,people,Apsari Begam,eb765b41
info,registry,people,B Ramani,92ad5353
info,registry,people,B Rawal,4d1cc284
info,registry,people,Chan Ka Man,c4022bff
info,registry,people,D Sevakumaran,b235cb97
info,registry,people,Hiu Ying Cheung,9efce9fd
info,registry,people,I Barma,521abce2
info,registry,people,Iqra Sahar,aaccb8ca
info,registry,people,K Joshi,0cd297b9
info,registry,people,K Kunwar,97e6e41a
info,registry,people,K Shrestha,119de50f
info,registry,people,KY Chan,6348c6e9
info,registry,people,M Bibi,34f86a2d
info,registry,people,M Hill,bf5e7711
info,registry,people,M Wai Siu,74eecff4
info,registry,people,N Sivan,8f4a0102
info,registry,people,Puja Mahato,4b95058b
info,registry,people,RC Belbashi,dfdaca74
info,registry,people,Ruchitha Venkatesh,106135f5
info,registry,people,Rudy Ismandy,84682045
info,registry,people,SR Magar,61c22ad0
info,registry,people,SYD Chan,4839b023
info,registry,people,Samjhana Khadka,765a2354
info,registry,people,Shanzeen Shahzad,ce291858
info,registry,people,Y Daswani,2038a273
