version,2.2.0
info,balls_per_over,6
info,team,Bhutan
info,team,Myanmar
info,gender,female
info,season,2024/25
info,date,2024/12/26
info,event,Myanmar Women tour of Bhutan
info,match_number,4
info,venue,Gelephu International Cricket Ground
info,city,Gelephu
info,toss_winner,Bhutan
info,toss_decision,bat
info,player_of_match,TT Soe
info,umpire,AK Rai
info,umpire,Dorji
info,winner,Myanmar
info,winner_wickets,6
info,player,Bhutan,N Choden
info,player,Bhutan,K Dema
info,player,Bhutan,S Choden
info,player,Bhutan,D Wangmo
info,player,Bhutan,Y Choden
info,player,Bhutan,T Zangmo
info,player,Bhutan,Sonam
info,player,Bhutan,Sonam Palden
info,player,Bhutan,Kinley Bidha
info,player,Bhutan,A Gurung
info,player,Bhutan,R Choden
info,player,Myanmar,TT Aung
info,player,Myanmar,Zon Lin
info,player,Myanmar,TT Soe
info,player,Myanmar,KM Myat
info,player,Myanmar,MPP San
info,player,Myanmar,ZL Win
info,player,Myanmar,SY Win
info,player,Myanmar,ZT Kyaw
info,player,Myanmar,LL Htun
info,player,Myanmar,HH Aung
info,player,Myanmar,Thae Thae Po
info,registry,people,A Gurung,10854c82
info,registry,people,AK Rai,1d70834a
info,registry,people,D Wangmo,760fcf65
info,registry,people,Dorji,a6b688ef
info,registry,people,HH Aung,860042f6
info,registry,people,K Dema,0b211a32
info,registry,people,KM Myat,c1b4e25c
info,registry,people,Kinley Bidha,f2a34cbc
info,registry,people,LL Htun,ec687c3a
info,registry,people,MPP San,5bc290a2
info,registry,people,N Choden,a904600a
info,registry,people,R Choden,c0266a6e
info,registry,people,S Choden,e1e0775d
info,registry,people,SY Win,33d65ab4
info,registry,people,Sonam,09cbca15
info,registry,people,Sonam Palden,ce7ab5f8
info,registry,people,T Zangmo,b1f21c0f
info,registry,people,TT Aung,57fb24e6
info,registry,people,TT Soe,59f44fde
info,registry,people,Thae Thae Po,48a372a4
info,registry,people,Y Choden,6f17c546
info,registry,people,ZL Win,b5714cf9
info,registry,people,ZT Kyaw,cdf63aaa
info,registry,people,Zon Lin,3b492b8d
