version,2.2.0
info,balls_per_over,6
info,team,Bhutan
info,team,Saudi Arabia
info,gender,male
info,season,2023/24
info,date,2024/02/03
info,event,Asian Cricket Council Men's Challenger Cup
info,match_number,5
info,venue,"Terdthai Cricket Ground, Bangkok"
info,city,Bangkok
info,toss_winner,Saudi Arabia
info,toss_decision,field
info,player_of_match,Usman Khalid
info,umpire,MV Krishnakumar
info,umpire,N Sivan
info,reserve_umpire,IGS Arsa
info,tv_umpire,Arif Ansari
info,match_referee,Iftikhar Ahmed
info,winner,Saudi Arabia
info,winner_wickets,8
info,player,Bhutan,S Pradhan
info,player,Bhutan,JN Dorji
info,player,Bhutan,Tenjin Rabgey
info,player,Bhutan,RM Dorji
info,player,Bhutan,N Chejay
info,player,Bhutan,T Jamtsho
info,player,Bhutan,Namgay Thinley
info,player,Bhutan,Ngawang Thinley
info,player,Bhutan,T Wangchuk
info,player,Bhutan,Manoj Adhikari
info,player,Bhutan,S Yeshi
info,player,Saudi Arabia,Manan Ali
info,player,Saudi Arabia,Haseeb Ghafoor
info,player,Saudi Arabia,Zuhair Muhammad
info,player,Saudi Arabia,Usman Khalid
info,player,Saudi Arabia,Ishtiaq Ahmad
info,player,Saudi Arabia,Atif-Ur-Rehman
info,player,Saudi Arabia,Usman Najeeb
info,player,Saudi Arabia,Abdul Waheed
info,player,Saudi Arabia,Hisham Sheikh
info,player,Saudi Arabia,Waqar Ul Hassan
info,player,Saudi Arabia,Waji Ul Hassan
info,registry,people,Abdul Waheed,23fa9ea9
info,registry,people,Arif Ansari,95957b9e
info,registry,people,Atif-Ur-Rehman,d20e22f7
info,registry,people,Haseeb Ghafoor,454a7269
info,registry,people,Hisham Sheikh,c4441675
info,registry,people,IGS Arsa,68d52634
info,registry,people,Iftikhar Ahmed,973d561e
info,registry,people,Ishtiaq Ahmad,056b433b
info,registry,people,JN Dorji,a73251ff
info,registry,people,MV Krishnakumar,b99e3162
info,registry,people,Manan Ali,d0b643e1
info,registry,people,Manoj Adhikari,26529e00
info,registry,people,N Chejay,a9e63549
info,registry,people,N Sivan,8f4a0102
info,registry,people,Namgay Thinley,9c333e40
info,registry,people,Ngawang Thinley,cc62ec8a
info,registry,people,RM Dorji,3d7f02d4
info,registry,people,S Pradhan,04f0d409
info,registry,people,S Yeshi,0c24fb7b
info,registry,people,Shahzaib,befef38f
info,registry,people,T Jamtsho,c01d1c0a
info,registry,people,T Wangchuk,39799e49
info,registry,people,Tenjin Rabgey,1fed517a
info,registry,people,Usman Khalid,314f0889
info,registry,people,Usman Najeeb,615688b6
info,registry,people,Waji Ul Hassan,6892f9c3
info,registry,people,Waqar Ul Hassan,b704da31
info,registry,people,Zuhair Muhammad,22ae4973
