version,2.2.0
info,balls_per_over,6
info,team,Canada
info,team,United States of America
info,gender,female
info,season,2024/25
info,date,2025/03/10
info,event,ICC Women's T20 World Cup Americas Region Qualifier
info,match_number,1
info,venue,"St Albans Club, Buenos Aires"
info,city,Buenos Aires
info,toss_winner,Canada
info,toss_decision,bat
info,player_of_match,Amarpal Kaur
info,umpire,JM Williams
info,umpire,M Abbott
info,reserve_umpire,Jermaine Lindo
info,tv_umpire,C La Borde
info,match_referee,Denavon Hayles
info,winner,Canada
info,winner_runs,9
info,player,Canada,A Perera
info,player,Canada,Amarpal Kaur
info,player,Canada,Habeeba Bader
info,player,Canada,I Goordial-John
info,player,Canada,Kainat Qazi
info,player,Canada,K Kapadia
info,player,Canada,M Hundal
info,player,Canada,Rabbjyot Rajput
info,player,Canada,TA Lavia
info,player,Canada,T Thorpe
info,player,Canada,V Mahajan
info,player,United States of America,D Dhingra
info,player,United States of America,GC Bhogle
info,player,United States of America,E Claridge
info,player,United States of America,RP Singh
info,player,United States of America,TG Norris
info,player,United States of America,IM Vaghela
info,player,United States of America,CR Pagydyala
info,player,United States of America,AI Chudasama
info,player,United States of America,G Kodali
info,player,United States of America,A Kolan
info,player,United States of America,S Immadi
info,registry,people,A Kolan,85f5735b
info,registry,people,A Perera,788afc32
info,registry,people,AI Chudasama,9414a81c
info,registry,people,Amarpal Kaur,3051fcc6
info,registry,people,C La Borde,32157f67
info,registry,people,CR Pagydyala,d7c02672
info,registry,people,D Dhingra,b0dc5d0d
info,registry,people,Denavon Hayles,5cbeeb02
info,registry,people,E Claridge,d8c6a647
info,registry,people,G Kodali,f606177e
info,registry,people,GC Bhogle,a1965ce2
info,registry,people,Habeeba Bader,18d53879
info,registry,people,I Goordial-John,6e2ec862
info,registry,people,IM Vaghela,8d62fc14
info,registry,people,JM Williams,b61d9d70
info,registry,people,Jermaine Lindo,1154bf4f
info,registry,people,K Kapadia,52fc5577
info,registry,people,Kainat Qazi,1ccd4054
info,registry,people,M Abbott,3e5f0c04
info,registry,people,M Hundal,213dc641
info,registry,people,RP Singh,0ab3c788
info,registry,people,Rabbjyot Rajput,8b1f5f91
info,registry,people,S Immadi,a6dd06d6
info,registry,people,T Thorpe,9e547805
info,registry,people,TA Lavia,361b378b
info,registry,people,TG Norris,8ae7bb3e
info,registry,people,V Mahajan,8c42d7d8
