version,2.2.0
info,balls_per_over,6
info,team,Thailand
info,team,Sri Lanka
info,gender,female
info,season,2023
info,date,2023/09/22
info,event,Asian Games Women's Cricket Competition
info,venue,Zhejiang University of Technology Cricket Field
info,city,Hangzhou
info,toss_winner,Sri Lanka
info,toss_decision,field
info,umpire,N Sivan
info,umpire,VG Rathi
info,reserve_umpire,Ramasamy Venkatesh
info,tv_umpire,Masudur Rahman
info,match_referee,Prakash Bhatt
info,winner,Sri Lanka
info,winner_wickets,8
info,player,Thailand,S Khiaoto
info,player,Thailand,N Koncharoenkai
info,player,Thailand,N Chantam
info,player,Thailand,N Chaiwai
info,player,Thailand,R Kanoh
info,player,Thailand,N Boochatham
info,player,Thailand,C Sutthiruang
info,player,Thailand,P Maya
info,player,Thailand,S Tippoch
info,player,Thailand,O Kamchomphu
info,player,Thailand,T Putthawong
info,player,Sri Lanka,AC Jayangani
info,player,Sri Lanka,MAA Sanjeewani
info,player,Sri Lanka,H Madavi
info,player,Sri Lanka,RMVD Gunaratne
info,player,Sri Lanka,GWHM Perera
info,player,Sri Lanka,NND de Silva
info,player,Sri Lanka,WK Dilhari
info,player,Sri Lanka,I Ranaweera
info,player,Sri Lanka,BMSM Kumari
info,player,Sri Lanka,KDU Prabodhani
info,player,Sri Lanka,SIP Fernando
info,registry,people,AC Jayangani,ac56b5a7
info,registry,people,BMSM Kumari,b55fb828
info,registry,people,C Sutthiruang,f6ddfe08
info,registry,people,GWHM Perera,53068b45
info,registry,people,H Madavi,85021bcd
info,registry,people,I Ranaweera,a61850e6
info,registry,people,KDU Prabodhani,a0fdf513
info,registry,people,MAA Sanjeewani,318a4039
info,registry,people,Masudur Rahman,9581ac6b
info,registry,people,N Boochatham,58acb320
info,registry,people,N Chaiwai,0825e4b3
info,registry,people,N Chantam,b5626ff7
info,registry,people,N Koncharoenkai,82c78412
info,registry,people,N Sivan,8f4a0102
info,registry,people,NND de Silva,f0b4294e
info,registry,people,O Kamchomphu,519b872a
info,registry,people,P Maya,72eada4c
info,registry,people,Prakash Bhatt,f848ab0b
info,registry,people,R Kanoh,5959370f
info,registry,people,RMVD Gunaratne,9e866b59
info,registry,people,Ramasamy Venkatesh,8ad68ea7
info,registry,people,S Khiaoto,3ac854ca
info,registry,people,S Tippoch,9c4b58db
info,registry,people,SIP Fernando,5838cb64
info,registry,people,T Putthawong,23e3f2d6
info,registry,people,VG Rathi,144e5b16
info,registry,people,WK Dilhari,c34a15e6
