version,2.2.0
info,balls_per_over,6
info,team,Hong Kong
info,team,Namibia
info,gender,female
info,season,2024/25
info,date,2024/12/07
info,event,Women's T20 Quadrangular Series (in Hong Kong)
info,match_number,6
info,venue,"Mission Road Ground, Mong Kok, Hong Kong"
info,city,Mong Kok
info,toss_winner,Hong Kong
info,toss_decision,bat
info,player_of_match,KA Green
info,umpire,John Prakash
info,umpire,Tabarak Dar
info,tv_umpire,Sun Meng Yao
info,match_referee,G Sankaranarayanan
info,winner,Namibia
info,winner_wickets,4
info,player,Hong Kong,Shanzeen Shahzad
info,player,Hong Kong,M Hill
info,player,Hong Kong,Y Daswani
info,player,Hong Kong,KY Chan
info,player,Hong Kong,M Bibi
info,player,Hong Kong,Ruchitha Venkatesh
info,player,Hong Kong,Fatima Amir
info,player,Hong Kong,SYD Chan
info,player,Hong Kong,Hiu Ying Cheung
info,player,Hong Kong,M Wai Siu
info,player,Hong Kong,Chan Ka Man
info,player,Namibia,SA Wittmann
info,player,Namibia,E Van Zyl
info,player,Namibia,Yasmeen Khan
info,player,Namibia,M Gorases
info,player,Namibia,W Mwatile
info,player,Namibia,JA Diergaardt
info,player,Namibia,KA Green
info,player,Namibia,I van Zyl
info,player,Namibia,SN Shihepo
info,player,Namibia,S Tuhadeleni
info,player,Namibia,M Mwatile
info,registry,people,Chan Ka Man,c4022bff
info,registry,people,E Van Zyl,79ff52b5
info,registry,people,Fatima Amir,ba05b211
info,registry,people,G Sankaranarayanan,a4a348f9
info,registry,people,Hiu Ying Cheung,9efce9fd
info,registry,people,I van Zyl,44c3cb6d
info,registry,people,JA Diergaardt,b72a8938
info,registry,people,John Prakash,b5f3d429
info,registry,people,KA Green,fa9fdefa
info,registry,people,KY Chan,6348c6e9
info,registry,people,M Bibi,34f86a2d
info,registry,people,M Gorases,d034d60a
info,registry,people,M Hill,bf5e7711
info,registry,people,M Mwatile,92b9e9af
info,registry,people,M Wai Siu,74eecff4
info,registry,people,Ruchitha Venkatesh,106135f5
info,registry,people,S Tuhadeleni,13f7c5f4
info,registry,people,SA Wittmann,531aef3b
info,registry,people,SN Shihepo,1b3f7dbb
info,registry,people,SYD Chan,4839b023
info,registry,people,Shanzeen Shahzad,ce291858
info,registry,people,Sun Meng Yao,84a96566
info,registry,people,Tabarak Dar,2259c12d
info,registry,people,W Mwatile,5728635a
info,registry,people,Y Daswani,2038a273
info,registry,people,Yasmeen Khan,ade5c0c0
