version,2.2.0
info,balls_per_over,6
info,team,South Africa
info,team,Australia
info,gender,male
info,season,2023/24
info,date,2023/09/03
info,event,Australia tour of South Africa
info,match_number,3
info,venue,"Kingsmead, Durban"
info,city,Durban
info,toss_winner,South Africa
info,toss_decision,bat
info,player_of_match,TM Head
info,umpire,A Paleker
info,umpire,BP Jele
info,reserve_umpire,Stephen Harris
info,tv_umpire,LB Gcuma
info,match_referee,RB Richardson
info,winner,Australia
info,winner_wickets,5
info,player,South Africa,RR Hendricks
info,player,South Africa,T Bavuma
info,player,South Africa,MP Breetzke
info,player,South Africa,AK Markram
info,player,South Africa,T Stubbs
info,player,South Africa,D Ferreira
info,player,South Africa,BC Fortuin
info,player,South Africa,G Coetzee
info,player,South Africa,KA Maharaj
info,player,South Africa,L Ngidi
info,player,South Africa,LB Williams
info,player,Australia,MW Short
info,player,Australia,TM Head
info,player,Australia,MR Marsh
info,player,Australia,JP Inglis
info,player,Australia,MP Stoinis
info,player,Australia,TH David
info,player,Australia,AJ Turner
info,player,Australia,SA Abbott
info,player,Australia,NT Ellis
info,player,Australia,SH Johnson
info,player,Australia,T Sangha
info,registry,people,A Paleker,634b11ac
info,registry,people,AJ Turner,ff1e12a0
info,registry,people,AK Markram,6a26221c
info,registry,people,AM Hardie,d405c0d5
info,registry,people,BC Fortuin,9a2fc964
info,registry,people,BP Jele,7bb1331e
info,registry,people,D Ferreira,f0af99a7
info,registry,people,G Coetzee,3204c99f
info,registry,people,JP Inglis,989889ff
info,registry,people,KA Maharaj,0b60eb09
info,registry,people,L Ngidi,f834dcfc
info,registry,people,LB Gcuma,02ba88e3
info,registry,people,LB Williams,a1d95bd8
info,registry,people,MP Breetzke,35f173a0
info,registry,people,MP Stoinis,d9273ee7
info,registry,people,MR Marsh,3d8feaf8
info,registry,people,MW Short,a90e53ec
info,registry,people,NT Ellis,9eb1455b
info,registry,people,RB Richardson,410e2f12
info,registry,people,RR Hendricks,b8cc58c9
info,registry,people,SA Abbott,1a2676c5
info,registry,people,SH Johnson,83c3e8e3
info,registry,people,Stephen Harris,fdcfd4aa
info,registry,people,T Bavuma,9ffd1ac1
info,registry,people,T Sangha,52c952d9
info,registry,people,T Stubbs,85b3fab2
info,registry,people,TH David,f1f99156
info,registry,people,TM Head,12b610c2
