version,2.2.0
info,balls_per_over,6
info,team,United Arab Emirates
info,team,Hong Kong
info,gender,female
info,season,2023
info,date,2023/09/08
info,event,ICC Women's T20 World Cup Asia Region Qualifier
info,venue,"Bayuemas Oval, Kuala Lumpur"
info,city,Kuala Lumpur
info,toss_winner,United Arab Emirates
info,toss_decision,bat
info,umpire,Sarika Prasad
info,umpire,V Kalidas
info,reserve_umpire,VG Rathi
info,match_referee,M Nayyar
info,winner,United Arab Emirates
info,winner_runs,57
info,player,United Arab Emirates,ER Oza
info,player,United Arab Emirates,Theertha Satish
info,player,United Arab Emirates,KKN Egodage
info,player,United Arab Emirates,Chaya Mughal
info,player,United Arab Emirates,Khushi Sharma
info,player,United Arab Emirates,S Dharnidharka
info,player,United Arab Emirates,S Kotte
info,player,United Arab Emirates,Vaishnave Mahesh
info,player,United Arab Emirates,S Gokhale
info,player,United Arab Emirates,Rinitha Rajith
info,player,United Arab Emirates,AS Patil
info,player,Hong Kong,NT Miles
info,player,Hong Kong,M Hill
info,player,Hong Kong,KY Chan
info,player,Hong Kong,SYD Chan
info,player,Hong Kong,Shanzeen Shahzad
info,player,Hong Kong,M Bibi
info,player,Hong Kong,Ruchitha Venkatesh
info,player,Hong Kong,Hiu Ying Cheung
info,player,Hong Kong,Iqra Sahar
info,player,Hong Kong,Chan Ka Man
info,player,Hong Kong,M Wai Siu
info,registry,people,AS Patil,ca707bdc
info,registry,people,Chan Ka Man,c4022bff
info,registry,people,Chaya Mughal,77b26349
info,registry,people,ER Oza,fdc6b34d
info,registry,people,Hiu Ying Cheung,9efce9fd
info,registry,people,Iqra Sahar,aaccb8ca
info,registry,people,KKN Egodage,5bb904d4
info,registry,people,KY Chan,6348c6e9
info,registry,people,Khushi Sharma,a259c414
info,registry,people,M Bibi,34f86a2d
info,registry,people,M Hill,bf5e7711
info,registry,people,M Nayyar,b7bccddb
info,registry,people,M Wai Siu,74eecff4
info,registry,people,NT Miles,d27d0835
info,registry,people,Rinitha Rajith,36ba7f0b
info,registry,people,Ruchitha Venkatesh,106135f5
info,registry,people,S Dharnidharka,f8b50da3
info,registry,people,S Gokhale,62653085
info,registry,people,S Kotte,6c8904c8
info,registry,people,SYD Chan,4839b023
info,registry,people,Sarika Prasad,8ff397fa
info,registry,people,Shanzeen Shahzad,ce291858
info,registry,people,Theertha Satish,ee3dcb3f
info,registry,people,V Kalidas,42d76418
info,registry,people,VG Rathi,144e5b16
info,registry,people,Vaishnave Mahesh,31c56f40
