version,2.2.0
info,balls_per_over,6
info,team,Bangladesh
info,team,India
info,gender,female
info,season,2024
info,date,2024/04/30
info,event,India Women tour of Bangladesh
info,match_number,2
info,venue,Sylhet International Cricket Stadium
info,city,Sylhet
info,toss_winner,Bangladesh
info,toss_decision,bat
info,player_of_match,D Hemalatha
info,umpire,Morshed Ali Khan
info,umpire,Shathira Jakir
info,reserve_umpire,Rokeya Sultana
info,tv_umpire,Kamruzzaman Limon
info,match_referee,Neeyamur Rashid
info,winner,India
info,winner_runs,19
info,method,D/L
info,player,Bangladesh,Dilara Akter
info,player,Bangladesh,Murshida Khatun
info,player,Bangladesh,S Mostary
info,player,Bangladesh,Nigar Sultana
info,player,Bangladesh,Fahima Khatun
info,player,Bangladesh,Sultana Khatun
info,player,Bangladesh,Ritu Moni
info,player,Bangladesh,Rabeya Khan
info,player,Bangladesh,Nahida Akter
info,player,Bangladesh,Marufa Akter
info,player,Bangladesh,Fariha Trisna
info,player,India,S Mandhana
info,player,India,Shafali Verma
info,player,India,D Hemalatha
info,player,India,H Kaur
info,player,India,DB Sharma
info,player,India,S Sajana
info,player,India,RM Ghosh
info,player,India,P Vastrakar
info,player,India,Renuka Singh
info,player,India,SR Patil
info,player,India,RP Yadav
info,registry,people,D Hemalatha,1d6ff329
info,registry,people,DB Sharma,201fef33
info,registry,people,Dilara Akter,f2670a3d
info,registry,people,Fahima Khatun,558cdd64
info,registry,people,Fariha Trisna,7b51bfa4
info,registry,people,H Kaur,53cd8da6
info,registry,people,Kamruzzaman Limon,2ae7a044
info,registry,people,Marufa Akter,a50797a4
info,registry,people,Morshed Ali Khan,a7c3cf5f
info,registry,people,Murshida Khatun,712bbd92
info,registry,people,Nahida Akter,66078174
info,registry,people,Neeyamur Rashid,bd81a027
info,registry,people,Nigar Sultana,3827f6a2
info,registry,people,P Vastrakar,8026ea72
info,registry,people,RM Ghosh,721e0199
info,registry,people,RP Yadav,6c3aef71
info,registry,people,Rabeya Khan,aaf037b1
info,registry,people,Renuka Singh,7298db76
info,registry,people,Ritu Moni,ad3940a5
info,registry,people,Rokeya Sultana,20abf9b9
info,registry,people,S Mandhana,5d2eda89
info,registry,people,S Mostary,94de63bf
info,registry,people,S Sajana,a4dcac97
info,registry,people,SR Patil,33946d69
info,registry,people,Shafali Verma,d8f59089
info,registry,people,Shathira Jakir,6b992a6f
info,registry,people,Sultana Khatun,fb0c0bcc
