version,2.2.0
info,balls_per_over,6
info,team,Cyprus
info,team,Estonia
info,gender,male
info,season,2024
info,date,2024/06/17
info,event,Estonia tour of Cyprus
info,match_number,1
info,venue,Happy Valley Ground
info,city,Episkopi
info,toss_winner,Cyprus
info,toss_decision,bat
info,player_of_match,S Gooch
info,umpire,SJ Ross
info,umpire,Tom Smith
info,winner,Estonia
info,winner_wickets,5
info,player,Cyprus,AUKDS Kalugala
info,player,Cyprus,S Burdekin
info,player,Cyprus,J Chialoufas
info,player,Cyprus,S Austin
info,player,Cyprus,NK Tiwari
info,player,Cyprus,MPGT Ketiyage
info,player,Cyprus,Taranjit Singh
info,player,Cyprus,A Shahi
info,player,Cyprus,R Siriwardena
info,player,Cyprus,B Mahesh
info,player,Cyprus,SN Pathirana
info,player,Estonia,Arslan Amjad
info,player,Estonia,Ali Masood
info,player,Estonia,S Hook
info,player,Estonia,Sahil Chauhan
info,player,Estonia,S Gooch
info,player,Estonia,Bilal Masud
info,player,Estonia,Aditya Panwar
info,player,Estonia,M Vaik
info,player,Estonia,D Robson
info,player,Estonia,P Gheewala
info,player,Estonia,A Paul
info,registry,people,A Paul,fa308279
info,registry,people,A Shahi,2011735e
info,registry,people,AUKDS Kalugala,e2d1822f
info,registry,people,Aditya Panwar,77e321db
info,registry,people,Ali Masood,a138f597
info,registry,people,Arslan Amjad,c228c52d
info,registry,people,B Mahesh,90bd1f11
info,registry,people,Bilal Masud,643e4882
info,registry,people,D Robson,fa39ad19
info,registry,people,J Chialoufas,90eac542
info,registry,people,M Vaik,5335c5a7
info,registry,people,MPGT Ketiyage,2d45d7d2
info,registry,people,NK Tiwari,97f44626
info,registry,people,P Gheewala,3b22ee4e
info,registry,people,R Mazumder,b23d3ec5
info,registry,people,R Siriwardena,c3ba4942
info,registry,people,S Austin,40ee633c
info,registry,people,S Burdekin,98e3f1de
info,registry,people,S Gooch,622be0d9
info,registry,people,S Hook,eba871dd
info,registry,people,SJ Ross,493ed665
info,registry,people,SN Pathirana,f4000a7d
info,registry,people,Sahil Chauhan,f219df21
info,registry,people,Taranjit Singh,985b649e
info,registry,people,Tom Smith,fa3b2690
