version,2.2.0
info,balls_per_over,6
info,team,Indonesia
info,team,Philippines
info,gender,female
info,season,2025
info,date,2025/04/10
info,event,Kartini Cup
info,match_number,2
info,venue,Udayana Cricket Ground
info,city,Bali
info,toss_winner,Philippines
info,toss_decision,field
info,player_of_match,D Wulandari
info,umpire,F Shony
info,umpire,S Hawoe
info,winner,Indonesia
info,winner_runs,76
info,player,Indonesia,M Corazon
info,player,Indonesia,D Wulandari
info,player,Indonesia,BD Pare
info,player,Indonesia,KS Kasse
info,player,Indonesia,NPAN Sakarini
info,player,Indonesia,NLKWR Dewi
info,player,Indonesia,DAL Paramitha
info,player,Indonesia,Emily Sirs
info,player,Indonesia,NW Sariani
info,player,Indonesia,SAN Maypriani
info,player,Indonesia,NK Ariani
info,player,Philippines,ABY Smith
info,player,Philippines,JKD Andreano
info,player,Philippines,AR Valdez
info,player,Philippines,KK Donovan
info,player,Philippines,Karri Gullem Keen
info,player,Philippines,SF Sirah
info,player,Philippines,Angela Busa
info,player,Philippines,AS Miranda
info,player,Philippines,R Castillo
info,player,Philippines,Kyte Gullem Keen
info,player,Philippines,JR Medianesta
info,registry,people,ABY Smith,fcb4448f
info,registry,people,AR Valdez,3c3f34b0
info,registry,people,AS Miranda,283e47fa
info,registry,people,Angela Busa,cbef5af4
info,registry,people,BD Pare,7b702d77
info,registry,people,D Wulandari,8c0d904e
info,registry,people,DAL Paramitha,84f831c3
info,registry,people,Emily Sirs,aa88b08b
info,registry,people,F Shony,85712af4
info,registry,people,JKD Andreano,757baa30
info,registry,people,JR Medianesta,538cb58a
info,registry,people,KK Donovan,ef2a7af4
info,registry,people,KS Kasse,007a3773
info,registry,people,Karri Gullem Keen,bb7b014a
info,registry,people,Kyte Gullem Keen,f3f654c2
info,registry,people,M Corazon,0baa36e0
info,registry,people,NK Ariani,382377a4
info,registry,people,NLKWR Dewi,d04fc4a4
info,registry,people,NPAN Sakarini,72b5decf
info,registry,people,NW Sariani,e910d955
info,registry,people,R Castillo,716ba9ef
info,registry,people,S Hawoe,e773dfe5
info,registry,people,SAN Maypriani,ad135bde
info,registry,people,SF Sirah,48bd237f
