version,2.2.0
info,balls_per_over,6
info,team,Bangladesh
info,team,South Africa
info,gender,female
info,season,2022/23
info,date,2023/02/21
info,event,ICC Women's T20 World Cup
info,match_number,20
info,venue,"Newlands, Cape Town"
info,city,Cape Town
info,toss_winner,Bangladesh
info,toss_decision,bat
info,player_of_match,L Wolvaardt
info,umpire,Eloise Sheridan
info,umpire,S Redfern
info,reserve_umpire,N Janani
info,tv_umpire,VG Rathi
info,match_referee,GS Lakshmi
info,winner,South Africa
info,winner_wickets,10
info,player,Bangladesh,Shamima Sultana
info,player,Bangladesh,Murshida Khatun
info,player,Bangladesh,S Mostary
info,player,Bangladesh,Nigar Sultana
info,player,Bangladesh,Shorna Akter
info,player,Bangladesh,Fargana Hoque
info,player,Bangladesh,Nahida Akter
info,player,Bangladesh,Lata Mondal
info,player,Bangladesh,Fahima Khatun
info,player,Bangladesh,Marufa Akter
info,player,Bangladesh,Jahanara Alam
info,player,South Africa,L Wolvaardt
info,player,South Africa,T Brits
info,player,South Africa,M Kapp
info,player,South Africa,S Luus
info,player,South Africa,CL Tryon
info,player,South Africa,A Bosch
info,player,South Africa,N de Klerk
info,player,South Africa,S Jafta
info,player,South Africa,S Ismail
info,player,South Africa,A Khaka
info,player,South Africa,N Mlaba
info,registry,people,A Bosch,dcf0e8f4
info,registry,people,A Khaka,0d518f89
info,registry,people,CL Tryon,4d4605e6
info,registry,people,Eloise Sheridan,d8d43840
info,registry,people,Fahima Khatun,558cdd64
info,registry,people,Fargana Hoque,6e96c956
info,registry,people,GS Lakshmi,ba8d5615
info,registry,people,Jahanara Alam,752183c1
info,registry,people,L Wolvaardt,e60f81c9
info,registry,people,Lata Mondal,5bf87532
info,registry,people,M Kapp,63e3b6b3
info,registry,people,Marufa Akter,a50797a4
info,registry,people,Murshida Khatun,712bbd92
info,registry,people,N Janani,d06a665d
info,registry,people,N Mlaba,686362af
info,registry,people,N de Klerk,ea544967
info,registry,people,Nahida Akter,66078174
info,registry,people,Nigar Sultana,3827f6a2
info,registry,people,S Ismail,108c4c09
info,registry,people,S Jafta,34304210
info,registry,people,S Luus,6d76bc23
info,registry,people,S Mostary,94de63bf
info,registry,people,S Redfern,5b038989
info,registry,people,Shamima Sultana,724645f5
info,registry,people,Shorna Akter,89895ae1
info,registry,people,T Brits,06659caa
info,registry,people,VG Rathi,144e5b16
