version,2.2.0
info,balls_per_over,6
info,team,Zimbabwe
info,team,Botswana
info,gender,female
info,season,2023/24
info,date,2023/12/11
info,event,ICC Women's T20 World Cup Africa Region Qualifier
info,match_number,6
info,venue,Entebbe Cricket Oval
info,city,Entebbe
info,toss_winner,Zimbabwe
info,toss_decision,bat
info,player_of_match,K Ndlovu
info,umpire,LDVV Silva
info,umpire,Habib Enesi
info,reserve_umpire,Claus Schumacher
info,winner,Zimbabwe
info,winner_runs,115
info,player,Zimbabwe,M Musonda
info,player,Zimbabwe,M Mupachikwa
info,player,Zimbabwe,CS Mugeri-Tiripano
info,player,Zimbabwe,A Ndiraya
info,player,Zimbabwe,K Ndlovu
info,player,Zimbabwe,N Gwanzura
info,player,Zimbabwe,CT Dhururu
info,player,Zimbabwe,L Tshuma
info,player,Zimbabwe,N Sibanda
info,player,Zimbabwe,P Marange
info,player,Zimbabwe,J Nkomo
info,player,Botswana,A Mokgotlhe
info,player,Botswana,B Madimabe
info,player,Botswana,S Mosweu
info,player,Botswana,L Mophakedi
info,player,Botswana,G Matome
info,player,Botswana,T Motlhabaphuti
info,player,Botswana,F Samanyika
info,player,Botswana,P Mapotsane
info,player,Botswana,T Shadrack
info,player,Botswana,O Kgeresi
info,player,Botswana,W Moutswi
info,registry,people,A Mokgotlhe,781f1a40
info,registry,people,A Ndiraya,c8e6bddd
info,registry,people,B Madimabe,1e481de4
info,registry,people,CS Mugeri-Tiripano,99c86133
info,registry,people,CT Dhururu,8d7fba79
info,registry,people,Claus Schumacher,85645e62
info,registry,people,F Samanyika,c42eed38
info,registry,people,G Matome,a6898f7a
info,registry,people,Habib Enesi,fb35ab1f
info,registry,people,J Nkomo,36dfa62e
info,registry,people,K Ndlovu,8d25271a
info,registry,people,L Mophakedi,c8cdbb92
info,registry,people,L Tshuma,f281dd00
info,registry,people,LDVV Silva,6e226c31
info,registry,people,M Mupachikwa,6657b319
info,registry,people,M Musonda,94b52754
info,registry,people,N Gwanzura,9c2e3040
info,registry,people,N Sibanda,edf62a25
info,registry,people,O Kgeresi,cba01c28
info,registry,people,P Mapotsane,9ea555a4
info,registry,people,P Marange,a4f1fdd4
info,registry,people,S Mosweu,10726a80
info,registry,people,T Motlhabaphuti,1fb3e04f
info,registry,people,T Shadrack,6d972d02
info,registry,people,W Moutswi,e8c42000
