version,2.2.0
info,balls_per_over,6
info,team,West Indies
info,team,Ireland
info,gender,male
info,season,2022/23
info,date,2022/10/21
info,event,ICC Men's T20 World Cup
info,match_number,11
info,venue,"Bellerive Oval, Hobart"
info,city,Hobart
info,toss_winner,West Indies
info,toss_decision,bat
info,player_of_match,GJ Delany
info,umpire,Ahsan Raza
info,umpire,CB Gaffaney
info,reserve_umpire,Nitin Menon
info,tv_umpire,MA Gough
info,match_referee,DC Boon
info,winner,Ireland
info,winner_wickets,9
info,player,West Indies,KR Mayers
info,player,West Indies,J Charles
info,player,West Indies,E Lewis
info,player,West Indies,BA King
info,player,West Indies,N Pooran
info,player,West Indies,R Powell
info,player,West Indies,OF Smith
info,player,West Indies,JO Holder
info,player,West Indies,AJ Hosein
info,player,West Indies,AS Joseph
info,player,West Indies,OC McCoy
info,player,Ireland,PR Stirling
info,player,Ireland,A Balbirnie
info,player,Ireland,L Tucker
info,player,Ireland,HT Tector
info,player,Ireland,C Campher
info,player,Ireland,GH Dockrell
info,player,Ireland,GJ Delany
info,player,Ireland,MR Adair
info,player,Ireland,Simi Singh
info,player,Ireland,BJ McCarthy
info,player,Ireland,J Little
info,registry,people,A Balbirnie,6ef13460
info,registry,people,AJ Hosein,4d7f517e
info,registry,people,AS Joseph,b0946605
info,registry,people,Ahsan Raza,e0e5b209
info,registry,people,BA King,7fca84b7
info,registry,people,BJ McCarthy,3766056b
info,registry,people,C Campher,478a63e7
info,registry,people,CB Gaffaney,d5ac41d8
info,registry,people,DC Boon,e79a1fe3
info,registry,people,E Lewis,0ebfb1ad
info,registry,people,GH Dockrell,99cddc5e
info,registry,people,GJ Delany,33b3d2df
info,registry,people,HT Tector,59ea70a4
info,registry,people,J Charles,09a9d073
info,registry,people,J Little,9061a703
info,registry,people,JO Holder,0f721006
info,registry,people,KR Mayers,73c18486
info,registry,people,L Tucker,3979b5e0
info,registry,people,MA Gough,76752ac8
info,registry,people,MR Adair,fc55ec67
info,registry,people,N Pooran,3241e3fd
info,registry,people,Nitin Menon,e1d41d9e
info,registry,people,OC McCoy,529eb9e0
info,registry,people,OF Smith,23cca426
info,registry,people,PR Stirling,cf494ffe
info,registry,people,R Powell,650d5e49
info,registry,people,Simi Singh,c9945bdf
