version,2.2.0
info,balls_per_over,6
info,team,Panama
info,team,Bahamas
info,gender,male
info,season,2022/23
info,date,2023/02/26
info,event,ICC Men's T20 World Cup Americas Region Qualifier
info,match_number,3
info,venue,"Hurlingham Club Ground, Buenos Aires"
info,city,Buenos Aires
info,toss_winner,Panama
info,toss_decision,bat
info,player_of_match,M Taylor
info,umpire,Emmerson Carrington
info,umpire,N Duguid
info,reserve_umpire,Jermaine Lindo
info,match_referee,Reon King
info,winner,Bahamas
info,winner_wickets,4
info,player,Panama,Mahmud Jasat
info,player,Panama,M Sohel Patel
info,player,Panama,Irfan Hafejee
info,player,Panama,Sohel Patel
info,player,Panama,A Natubhai Ahir
info,player,Panama,RDB Ahir
info,player,Panama,HJ Patel
info,player,Panama,FL Patel
info,player,Panama,N Ahir
info,player,Panama,Abdullah Jasat
info,player,Panama,KB Ahir
info,player,Bahamas,M Taylor
info,player,Bahamas,NH Ekanayake
info,player,Bahamas,K Hinds
info,player,Bahamas,GT Taylor
info,player,Bahamas,Sandeep Goud
info,player,Bahamas,Festus Benn
info,player,Bahamas,T Brown
info,player,Bahamas,D Wheatley
info,player,Bahamas,JR Barry
info,player,Bahamas,J Jemison
info,player,Bahamas,JE Scott
info,registry,people,A Natubhai Ahir,9c91218d
info,registry,people,Abdullah Jasat,5a42db78
info,registry,people,D Wheatley,04539335
info,registry,people,Emmerson Carrington,a428109a
info,registry,people,FL Patel,e205ce8b
info,registry,people,Festus Benn,de6b3760
info,registry,people,GT Taylor,c674f722
info,registry,people,HJ Patel,2e3c45d3
info,registry,people,Irfan Hafejee,244009ae
info,registry,people,J Jemison,ce1abd25
info,registry,people,JE Scott,732c9016
info,registry,people,JR Barry,9bc324b5
info,registry,people,Jermaine Lindo,1154bf4f
info,registry,people,K Hinds,a268c07b
info,registry,people,KB Ahir,214cf493
info,registry,people,M Sohel Patel,40a5bcf9
info,registry,people,M Taylor,92075cdc
info,registry,people,Mahmud Jasat,97e36a0f
info,registry,people,N Ahir,c2ecd4a7
info,registry,people,N Duguid,64495506
info,registry,people,NH Ekanayake,00c98c78
info,registry,people,RDB Ahir,2f6f44bb
info,registry,people,Reon King,20fbf68c
info,registry,people,Sandeep Goud,c83ef4d6
info,registry,people,Sohel Patel,9ac70727
info,registry,people,T Brown,e4bc45e0
