version,2.2.0
info,balls_per_over,6
info,team,Netherlands
info,team,Nepal
info,gender,female
info,season,2024/25
info,date,2025/01/30
info,event,Nepal Women's T20I Tri-Series
info,match_number,1
info,venue,"Tribhuvan University International Cricket Ground, Kirtipur"
info,city,Kirtipur
info,toss_winner,Nepal
info,toss_decision,field
info,player_of_match,R Rijke
info,umpire,BB Pradhan
info,umpire,RC Pandey
info,reserve_umpire,U Regmi
info,tv_umpire,VK Jha
info,match_referee,Mohammed Shafique
info,winner,Netherlands
info,winner_runs,20
info,player,Netherlands,P Molkenboer
info,player,Netherlands,SL Kalis
info,player,Netherlands,B de Leede
info,player,Netherlands,R Rijke
info,player,Netherlands,HDJ Siegers
info,player,Netherlands,IJR Zwilling
info,player,Netherlands,S Siegers
info,player,Netherlands,F Overdijk
info,player,Netherlands,C de Lange
info,player,Netherlands,EN Lynch
info,player,Netherlands,HWA Landheer
info,player,Nepal,Samjhana Khadka
info,player,Nepal,SR Magar
info,player,Nepal,I Barma
info,player,Nepal,K Kunwar
info,player,Nepal,RC Belbashi
info,player,Nepal,Puja Mahato
info,player,Nepal,K Joshi
info,player,Nepal,B Rawal
info,player,Nepal,AK Yadav
info,player,Nepal,I Bist
info,player,Nepal,M Upadhayay
info,registry,people,AK Yadav,a1886d3f
info,registry,people,B Rawal,4d1cc284
info,registry,people,B de Leede,b3020075
info,registry,people,BB Pradhan,8603d942
info,registry,people,C de Lange,c6a019f5
info,registry,people,EN Lynch,4d35d0b3
info,registry,people,F Overdijk,022745d5
info,registry,people,HDJ Siegers,6d48df01
info,registry,people,HWA Landheer,a6ec88f4
info,registry,people,I Barma,521abce2
info,registry,people,I Bist,beccd5a1
info,registry,people,IJR Zwilling,47b32a5a
info,registry,people,K Joshi,0cd297b9
info,registry,people,K Kunwar,97e6e41a
info,registry,people,M Upadhayay,cdda92be
info,registry,people,Mohammed Shafique,a9ca87b8
info,registry,people,P Molkenboer,fa9db243
info,registry,people,Puja Mahato,4b95058b
info,registry,people,R Rijke,42e4b276
info,registry,people,RC Belbashi,dfdaca74
info,registry,people,RC Pandey,1b807976
info,registry,people,S Siegers,9a58f2c8
info,registry,people,SL Kalis,2b150c6b
info,registry,people,SR Magar,61c22ad0
info,registry,people,Samjhana Khadka,765a2354
info,registry,people,U Regmi,d1ce9fb5
info,registry,people,VK Jha,5d46eb72
