version,2.2.0
info,balls_per_over,6
info,team,Bangladesh
info,team,Zimbabwe
info,gender,male
info,season,2022/23
info,date,2022/10/30
info,event,ICC Men's T20 World Cup
info,match_number,28
info,venue,"Brisbane Cricket Ground, Woolloongabba, Brisbane"
info,city,Brisbane
info,toss_winner,Bangladesh
info,toss_decision,bat
info,player_of_match,Taskin Ahmed
info,umpire,M Erasmus
info,umpire,Nitin Menon
info,reserve_umpire,HDPK Dharmasena
info,tv_umpire,CB Gaffaney
info,match_referee,BC Broad
info,winner,Bangladesh
info,winner_runs,3
info,player,Bangladesh,Nazmul Hossain Shanto
info,player,Bangladesh,Soumya Sarkar
info,player,Bangladesh,Liton Das
info,player,Bangladesh,Shakib Al Hasan
info,player,Bangladesh,Afif Hossain
info,player,Bangladesh,Mosaddek Hossain
info,player,Bangladesh,Nurul Hasan
info,player,Bangladesh,Yasir Ali Chowdhury
info,player,Bangladesh,Taskin Ahmed
info,player,Bangladesh,Hasan Mahmud
info,player,Bangladesh,Mustafizur Rahman
info,player,Zimbabwe,W Madhevere
info,player,Zimbabwe,CR Ervine
info,player,Zimbabwe,M Shumba
info,player,Zimbabwe,SC Williams
info,player,Zimbabwe,Sikandar Raza
info,player,Zimbabwe,RW Chakabva
info,player,Zimbabwe,RP Burl
info,player,Zimbabwe,B Evans
info,player,Zimbabwe,R Ngarava
info,player,Zimbabwe,B Muzarabani
info,player,Zimbabwe,TL Chatara
info,registry,people,Afif Hossain,37138918
info,registry,people,B Evans,e7e86505
info,registry,people,B Muzarabani,449f4e3c
info,registry,people,BC Broad,d6a7dd38
info,registry,people,CB Gaffaney,d5ac41d8
info,registry,people,CR Ervine,c96311d4
info,registry,people,HDPK Dharmasena,323e4c16
info,registry,people,Hasan Mahmud,80ad39ac
info,registry,people,Liton Das,0404d43c
info,registry,people,M Erasmus,15d3c895
info,registry,people,M Shumba,6766ca00
info,registry,people,Mosaddek Hossain,8919756f
info,registry,people,Mustafizur Rahman,0a8fce53
info,registry,people,Nazmul Hossain Shanto,1274d7ab
info,registry,people,Nitin Menon,e1d41d9e
info,registry,people,Nurul Hasan,d365d463
info,registry,people,R Ngarava,6e3f5a5c
info,registry,people,RP Burl,b08252b8
info,registry,people,RW Chakabva,2f0d7e4a
info,registry,people,SC Williams,afe57f7a
info,registry,people,Shakib Al Hasan,7dc35884
info,registry,people,Sikandar Raza,26d041c4
info,registry,people,Soumya Sarkar,4d9f9686
info,registry,people,TL Chatara,5bbabe59
info,registry,people,Taskin Ahmed,ef18b66e
info,registry,people,W Madhevere,a879b92c
info,registry,people,Yasir Ali Chowdhury,5791b840
