version,2.2.0
info,balls_per_over,6
info,team,Namibia
info,team,Nepal
info,gender,female
info,season,2024/25
info,date,2025/03/12
info,event,Women's T20 Quadrangular Series (in Uganda)
info,match_number,7
info,venue,Entebbe Cricket Oval
info,city,Entebbe
info,toss_winner,Nepal
info,toss_decision,field
info,player_of_match,Yasmeen Khan
info,umpire,Patric Makumbi
info,umpire,S Athuola
info,reserve_umpire,AY Harris
info,winner,Namibia
info,winner_runs,23
info,player,Namibia,SA Wittmann
info,player,Namibia,KA Green
info,player,Namibia,Yasmeen Khan
info,player,Namibia,M Gorases
info,player,Namibia,SN Shihepo
info,player,Namibia,E Van Zyl
info,player,Namibia,W Mwatile
info,player,Namibia,M Mwatile
info,player,Namibia,JA Diergaardt
info,player,Namibia,EU Kejarukua
info,player,Namibia,S Tuhadeleni
info,player,Nepal,Samjhana Khadka
info,player,Nepal,S Praveen
info,player,Nepal,Puja Mahato
info,player,Nepal,I Barma
info,player,Nepal,RC Belbashi
info,player,Nepal,K Joshi
info,player,Nepal,MM Chaudhary
info,player,Nepal,Roma Thapa
info,player,Nepal,R Chaudhary
info,player,Nepal,Riya Sharma
info,player,Nepal,I Bist
info,registry,people,AY Harris,90d95b82
info,registry,people,E Van Zyl,79ff52b5
info,registry,people,EU Kejarukua,e7068bfd
info,registry,people,I Barma,521abce2
info,registry,people,I Bist,beccd5a1
info,registry,people,JA Diergaardt,b72a8938
info,registry,people,K Joshi,0cd297b9
info,registry,people,KA Green,fa9fdefa
info,registry,people,M Gorases,d034d60a
info,registry,people,M Mwatile,92b9e9af
info,registry,people,MM Chaudhary,f4b9d4e0
info,registry,people,Patric Makumbi,e4c69c16
info,registry,people,Puja Mahato,4b95058b
info,registry,people,R Chaudhary,bc6f4dac
info,registry,people,RC Belbashi,dfdaca74
info,registry,people,Riya Sharma,8b7cda26
info,registry,people,Roma Thapa,05d9faac
info,registry,people,S Athuola,7c94cfd1
info,registry,people,S Praveen,c03a7d47
info,registry,people,S Tuhadeleni,13f7c5f4
info,registry,people,SA Wittmann,531aef3b
info,registry,people,SN Shihepo,1b3f7dbb
info,registry,people,Samjhana Khadka,765a2354
info,registry,people,W Mwatile,5728635a
info,registry,people,Yasmeen Khan,ade5c0c0
