version,2.2.0
info,balls_per_over,6
info,team,United States of America
info,team,Uganda
info,gender,female
info,season,2024
info,date,2024/04/27
info,event,ICC Women's T20 World Cup Qualifier
info,match_number,6
info,venue,"Zayed Cricket Stadium, Abu Dhabi"
info,city,Abu Dhabi
info,toss_winner,United States of America
info,toss_decision,bat
info,player_of_match,I Nakisuuyi
info,umpire,Gazi Sohel
info,umpire,S Dambanevana
info,reserve_umpire,Shivani Mishra
info,match_referee,GS Lakshmi
info,winner,Uganda
info,winner_wickets,8
info,player,United States of America,D Dhingra
info,player,United States of America,A Kolan
info,player,United States of America,RP Singh
info,player,United States of America,S Sriharsha
info,player,United States of America,GC Bhogle
info,player,United States of America,G Kodali
info,player,United States of America,IM Vaghela
info,player,United States of America,JM Willathgamuwa
info,player,United States of America,AI Chudasama
info,player,United States of America,JL Aras
info,player,United States of America,SR Thadani
info,player,Uganda,P Alako
info,player,Uganda,I Nakisuuyi
info,player,Uganda,E Iloku
info,player,Uganda,S Nampiina
info,player,Uganda,R Musamali
info,player,Uganda,J Mbabazi
info,player,Uganda,K Awino
info,player,Uganda,PE Kulume
info,player,Uganda,S Walaza
info,player,Uganda,C Aweko
info,player,Uganda,S Akiteng
info,registry,people,A Kolan,85f5735b
info,registry,people,AI Chudasama,9414a81c
info,registry,people,C Aweko,01c1b96c
info,registry,people,D Dhingra,b0dc5d0d
info,registry,people,E Iloku,f1fa1c6b
info,registry,people,G Kodali,f606177e
info,registry,people,GC Bhogle,a1965ce2
info,registry,people,GS Lakshmi,ba8d5615
info,registry,people,Gazi Sohel,f0df3ed7
info,registry,people,I Nakisuuyi,2f145a4f
info,registry,people,IM Vaghela,8d62fc14
info,registry,people,J Mbabazi,aaa6e84c
info,registry,people,JL Aras,e21475a5
info,registry,people,JM Willathgamuwa,0a10b268
info,registry,people,K Awino,c4e7749a
info,registry,people,P Alako,fcf37e14
info,registry,people,PE Kulume,bb1a5f8a
info,registry,people,R Musamali,017cadb2
info,registry,people,RP Singh,0ab3c788
info,registry,people,S Akiteng,cf92d76b
info,registry,people,S Dambanevana,039923bd
info,registry,people,S Nampiina,91d9aa26
info,registry,people,S Sriharsha,89f6c26f
info,registry,people,S Walaza,f67ea6d2
info,registry,people,SR Thadani,76bda023
info,registry,people,Shivani Mishra,2982a0c7
