version,2.2.0
info,balls_per_over,6
info,team,Bahrain
info,team,Qatar
info,gender,male
info,season,2024/25
info,date,2024/12/20
info,event,Gulf T20I Championship
info,match_number,14
info,venue,"ICC Academy, Dubai"
info,city,Dubai
info,toss_winner,Qatar
info,toss_decision,field
info,player_of_match,Muhammad Asim
info,umpire,Rahat Ali
info,umpire,Zahid Usman
info,reserve_umpire,Shiju Sam
info,tv_umpire,G Pillai
info,match_referee,Iftikhar Ali
info,winner,Qatar
info,winner_wickets,6
info,player,Bahrain,P Kurup
info,player,Bahrain,Sarfaraz Ali
info,player,Bahrain,Imran Anwar
info,player,Bahrain,Asif Ali
info,player,Bahrain,Haider Butt
info,player,Bahrain,Ahmer Bin Nisar
info,player,Bahrain,S Sarthak
info,player,Bahrain,Muhammed Basil
info,player,Bahrain,Rizwan Butt
info,player,Bahrain,Abdul Majid Abbasi
info,player,Bahrain,Imran Khan
info,player,Qatar,Saqlain Arshad
info,player,Qatar,I Liyanage
info,player,Qatar,Mohammad Rizlan
info,player,Qatar,Muhammad Tanveer
info,player,Qatar,Muhammad Asim
info,player,Qatar,Ikramullah Khan
info,player,Qatar,Muhammad Jabir
info,player,Qatar,Mohammed Nadeem
info,player,Qatar,H Rathod
info,player,Qatar,Amir Farooq
info,player,Qatar,A Nagarajan
info,registry,people,A Nagarajan,856dcfa8
info,registry,people,Abdul Majid Abbasi,0cfb42b5
info,registry,people,Ahmer Bin Nisar,afbc53ba
info,registry,people,Amir Farooq,6e991bd4
info,registry,people,Asif Ali,0a4736eb
info,registry,people,G Pillai,c363921c
info,registry,people,H Rathod,1f943bef
info,registry,people,Haider Butt,14fd10b5
info,registry,people,I Liyanage,826e1017
info,registry,people,Iftikhar Ali,fc537391
info,registry,people,Ikramullah Khan,c6e1354c
info,registry,people,Imran Anwar,a9a18e3e
info,registry,people,Imran Khan,da3b91fd
info,registry,people,Mohammad Rizlan,82afc034
info,registry,people,Mohammed Nadeem,856cbb1e
info,registry,people,Muhammad Asim,b424d3d3
info,registry,people,Muhammad Jabir,b67af1c4
info,registry,people,Muhammad Tanveer,aef39fe4
info,registry,people,Muhammed Basil,457e6a8e
info,registry,people,P Kurup,50ceaef6
info,registry,people,Rahat Ali,458161f4
info,registry,people,Rizwan Butt,e741ed8f
info,registry,people,S Sarthak,9f2c6cd3
info,registry,people,Saqlain Arshad,71ad618b
info,registry,people,Sarfaraz Ali,db95ddeb
info,registry,people,Shiju Sam,1e2f3eae
info,registry,people,Zahid Usman,5ee3b5bd
