version,2.2.0
info,balls_per_over,6
info,team,Kuwait
info,team,Thailand
info,gender,female
info,season,2023
info,date,2023/09/04
info,event,ICC Women's T20 World Cup Asia Region Qualifier
info,match_number,20
info,venue,"Selangor Turf Club, Kuala Lumpur"
info,city,Kuala Lumpur
info,toss_winner,Thailand
info,toss_decision,field
info,umpire,N Janani
info,umpire,VK Jha
info,reserve_umpire,N Perera
info,match_referee,M Nayyar
info,outcome,no result
info,player,Kuwait,Priyada Murali
info,player,Kuwait,Amna Tariq
info,player,Kuwait,Zeefa Jilani
info,player,Kuwait,Maryam Omar
info,player,Kuwait,B Shanti
info,player,Kuwait,Khadija Khalil
info,player,Kuwait,SL Gomez
info,player,Kuwait,Mariamma Hyder
info,player,Kuwait,Maria Jasvi
info,player,Kuwait,AG D'Costa
info,player,Kuwait,S Lita D'Sa
info,player,Thailand,S Khiaoto
info,player,Thailand,N Koncharoenkai
info,player,Thailand,N Chantam
info,player,Thailand,S Tippoch
info,player,Thailand,N Chaiwai
info,player,Thailand,C Sutthiruang
info,player,Thailand,P Maya
info,player,Thailand,R Kanoh
info,player,Thailand,N Boochatham
info,player,Thailand,T Putthawong
info,player,Thailand,S Chaturongrattana
info,registry,people,AG D'Costa,65d3908c
info,registry,people,Amna Tariq,44b53fba
info,registry,people,B Shanti,f50ca46d
info,registry,people,C Sutthiruang,f6ddfe08
info,registry,people,Khadija Khalil,7c61a686
info,registry,people,M Nayyar,b7bccddb
info,registry,people,Maria Jasvi,4bed6af7
info,registry,people,Mariamma Hyder,c8ae2573
info,registry,people,Maryam Omar,b4d08794
info,registry,people,N Boochatham,58acb320
info,registry,people,N Chaiwai,0825e4b3
info,registry,people,N Chantam,b5626ff7
info,registry,people,N Janani,d06a665d
info,registry,people,N Koncharoenkai,82c78412
info,registry,people,N Perera,129709f9
info,registry,people,P Maya,72eada4c
info,registry,people,Priyada Murali,f4b942ae
info,registry,people,R Kanoh,5959370f
info,registry,people,S Chaturongrattana,bd36bc39
info,registry,people,S Khiaoto,3ac854ca
info,registry,people,S Lita D'Sa,a289cfa0
info,registry,people,S Tippoch,9c4b58db
info,registry,people,SL Gomez,02264be0
info,registry,people,T Putthawong,23e3f2d6
info,registry,people,VK Jha,5d46eb72
info,registry,people,Zeefa Jilani,3f2b40f0
