version,2.2.0
info,balls_per_over,6
info,team,New Zealand
info,team,United Arab Emirates
info,gender,male
info,season,2023
info,date,2023/08/17
info,event,New Zealand tour of United Arab Emirates
info,match_number,1
info,venue,Dubai International Cricket Stadium
info,city,Dubai
info,toss_winner,United Arab Emirates
info,toss_decision,field
info,player_of_match,TG Southee
info,umpire,Aasif Iqbal
info,umpire,Akbar Ali
info,reserve_umpire,SK Thottathil
info,tv_umpire,Shiju Sam
info,match_referee,AJ Pycroft
info,winner,New Zealand
info,winner_runs,19
info,player,New Zealand,CJ Bowes
info,player,New Zealand,TL Seifert
info,player,New Zealand,D Cleaver
info,player,New Zealand,MS Chapman
info,player,New Zealand,MJ Santner
info,player,New Zealand,JDS Neesham
info,player,New Zealand,CE McConchie
info,player,New Zealand,R Ravindra
info,player,New Zealand,KA Jamieson
info,player,New Zealand,TG Southee
info,player,New Zealand,BG Lister
info,player,United Arab Emirates,Waseem Muhammad
info,player,United Arab Emirates,A Sharma
info,player,United Arab Emirates,V Aravind
info,player,United Arab Emirates,Asif Khan
info,player,United Arab Emirates,Ansh Tandon
info,player,United Arab Emirates,Basil Hameed
info,player,United Arab Emirates,Ali Naseer
info,player,United Arab Emirates,Aayan Afzal Khan
info,player,United Arab Emirates,Mohammed Faraazuddin
info,player,United Arab Emirates,Junaid Siddique
info,player,United Arab Emirates,Zahoor Khan
info,registry,people,A Sharma,5661ef90
info,registry,people,AJ Pycroft,685d3f80
info,registry,people,Aasif Iqbal,42c41e1a
info,registry,people,Aayan Afzal Khan,d2d15439
info,registry,people,Akbar Ali,e753931d
info,registry,people,Ali Naseer,f5715b48
info,registry,people,Ansh Tandon,599ce28e
info,registry,people,Asif Khan,074acfb4
info,registry,people,BG Lister,79f5bc26
info,registry,people,Basil Hameed,adbf0400
info,registry,people,CE McConchie,d285acaf
info,registry,people,CJ Bowes,45df0e72
info,registry,people,D Cleaver,e3a949be
info,registry,people,JDS Neesham,9219eff0
info,registry,people,Junaid Siddique,84dc72db
info,registry,people,KA Jamieson,68c56d09
info,registry,people,MJ Santner,e4a0deae
info,registry,people,MS Chapman,7fa12533
info,registry,people,Mohammed Faraazuddin,18ac3318
info,registry,people,R Ravindra,ba5e1069
info,registry,people,SK Thottathil,f972456b
info,registry,people,Shiju Sam,1e2f3eae
info,registry,people,TG Southee,13c35c9e
info,registry,people,TL Seifert,4663bd23
info,registry,people,V Aravind,cddafe26
info,registry,people,Waseem Muhammad,6f02fe2a
info,registry,people,Zahoor Khan,f0e293b0
