version,2.2.0
info,balls_per_over,6
info,team,United Arab Emirates
info,team,Nepal
info,gender,male
info,season,2023/24
info,date,2023/11/03
info,event,ICC Men's T20 World Cup Asia Qualifier Final
info,venue,Mulpani Cricket Ground
info,city,Kathmandu
info,toss_winner,United Arab Emirates
info,toss_decision,bat
info,player_of_match,Aasif Sheikh
info,umpire,Gazi Sohel
info,umpire,Rashid Riaz
info,reserve_umpire,V Kalidas
info,match_referee,Ali Naqvi
info,winner,Nepal
info,winner_wickets,8
info,player,United Arab Emirates,Waseem Muhammad
info,player,United Arab Emirates,Khalid Shah
info,player,United Arab Emirates,V Aravind
info,player,United Arab Emirates,Asif Khan
info,player,United Arab Emirates,A Sharafu
info,player,United Arab Emirates,Ali Naseer
info,player,United Arab Emirates,Basil Hameed
info,player,United Arab Emirates,Aayan Afzal Khan
info,player,United Arab Emirates,Nilansh Keswani
info,player,United Arab Emirates,Junaid Siddique
info,player,United Arab Emirates,Zahoor Khan
info,player,Nepal,K Bhurtel
info,player,Nepal,Aasif Sheikh
info,player,Nepal,Gulsan Jha
info,player,Nepal,RK Paudel
info,player,Nepal,B Yadav
info,player,Nepal,Karan KC
info,player,Nepal,A Bohara
info,player,Nepal,Kushal Malla
info,player,Nepal,DS Airee
info,player,Nepal,S Lamichhane
info,player,Nepal,Sompal Kami
info,registry,people,A Bohara,64fb6b15
info,registry,people,A Sharafu,06cad4f0
info,registry,people,Aasif Sheikh,dcbea954
info,registry,people,Aayan Afzal Khan,d2d15439
info,registry,people,Ali Naqvi,3c89fc88
info,registry,people,Ali Naseer,f5715b48
info,registry,people,Asif Khan,074acfb4
info,registry,people,B Yadav,ef07f354
info,registry,people,Basil Hameed,adbf0400
info,registry,people,DS Airee,1747ea18
info,registry,people,Gazi Sohel,f0df3ed7
info,registry,people,Gulsan Jha,9811e35e
info,registry,people,Junaid Siddique,84dc72db
info,registry,people,K Bhurtel,e3386c8a
info,registry,people,Karan KC,f53b3e1d
info,registry,people,Khalid Shah,9e432a38
info,registry,people,Kushal Malla,7e9f1cde
info,registry,people,Nilansh Keswani,424a7994
info,registry,people,RK Paudel,1a3cc554
info,registry,people,Rashid Riaz,fb82725e
info,registry,people,S Lamichhane,b410bd3d
info,registry,people,Sompal Kami,1adb8ee8
info,registry,people,V Aravind,cddafe26
info,registry,people,V Kalidas,42d76418
info,registry,people,Waseem Muhammad,6f02fe2a
info,registry,people,Zahoor Khan,f0e293b0
