version,2.2.0
info,balls_per_over,6
info,team,United States of America
info,team,Brazil
info,gender,female
info,season,2024/25
info,date,2025/03/11
info,event,ICC Women's T20 World Cup Americas Region Qualifier
info,match_number,3
info,venue,"St Albans Club, Buenos Aires"
info,city,Buenos Aires
info,toss_winner,Brazil
info,toss_decision,field
info,player_of_match,RP Singh
info,umpire,C La Borde
info,umpire,JM Williams
info,reserve_umpire,M Abbott
info,tv_umpire,Jermaine Lindo
info,match_referee,Denavon Hayles
info,winner,United States of America
info,winner_runs,76
info,player,United States of America,D Dhingra
info,player,United States of America,GC Bhogle
info,player,United States of America,CR Pagydyala
info,player,United States of America,E Claridge
info,player,United States of America,A Kolan
info,player,United States of America,TG Norris
info,player,United States of America,RP Singh
info,player,United States of America,IM Vaghela
info,player,United States of America,AI Chudasama
info,player,United States of America,G Kodali
info,player,United States of America,S Immadi
info,player,Brazil,LV Boas
info,player,Brazil,L Agatha
info,player,Brazil,RMAM Avery
info,player,Brazil,L Cardoso
info,player,Brazil,MR Machado
info,player,Brazil,CS Nascimento
info,player,Brazil,AC Sabino
info,player,Brazil,MLG Silva
info,player,Brazil,NC Monteiro
info,player,Brazil,M Ribeiro
info,player,Brazil,L Moises
info,registry,people,A Kolan,85f5735b
info,registry,people,AC Sabino,dd45b04b
info,registry,people,AI Chudasama,9414a81c
info,registry,people,C La Borde,32157f67
info,registry,people,CR Pagydyala,d7c02672
info,registry,people,CS Nascimento,df997334
info,registry,people,D Dhingra,b0dc5d0d
info,registry,people,Denavon Hayles,5cbeeb02
info,registry,people,E Claridge,d8c6a647
info,registry,people,G Kodali,f606177e
info,registry,people,GC Bhogle,a1965ce2
info,registry,people,IM Vaghela,8d62fc14
info,registry,people,JM Williams,b61d9d70
info,registry,people,Jermaine Lindo,1154bf4f
info,registry,people,L Agatha,1aebb2fa
info,registry,people,L Cardoso,5777d460
info,registry,people,L Moises,b27f9716
info,registry,people,LV Boas,3a00d34f
info,registry,people,M Abbott,3e5f0c04
info,registry,people,M Ribeiro,38424a4d
info,registry,people,MLG Silva,3b62a6b4
info,registry,people,MR Machado,4a4f94fa
info,registry,people,NC Monteiro,752af5a4
info,registry,people,RMAM Avery,4cf645c9
info,registry,people,RP Singh,0ab3c788
info,registry,people,S Immadi,a6dd06d6
info,registry,people,TG Norris,8ae7bb3e
