version,2.2.0
info,balls_per_over,6
info,team,Bahrain
info,team,Vanuatu
info,gender,male
info,season,2023/24
info,date,2024/03/10
info,event,Malaysia Open T20 Championship
info,match_number,9
info,venue,"Bayuemas Oval, Kuala Lumpur"
info,city,Kuala Lumpur
info,toss_winner,Bahrain
info,toss_decision,bat
info,player_of_match,Sohail Ahmed
info,umpire,N Sivan
info,umpire,V Kalidas
info,reserve_umpire,Nasir Ali
info,tv_umpire,Tabarak Dar
info,match_referee,Ramesh Menon
info,winner,Bahrain
info,winner_runs,56
info,player,Bahrain,Umer Imtiaz
info,player,Bahrain,Imran Anwar
info,player,Bahrain,Sohail Ahmed
info,player,Bahrain,Haider Butt
info,player,Bahrain,Ahmer Bin Nisar
info,player,Bahrain,S Veerapathiran
info,player,Bahrain,Junaid Aziz
info,player,Bahrain,Ali Dawood
info,player,Bahrain,Sachin Kumar
info,player,Bahrain,Ubaid Minhas
info,player,Bahrain,Abdul Majid
info,player,Vanuatu,JD Allan
info,player,Vanuatu,J Rasu
info,player,Vanuatu,PK Matautaava
info,player,Vanuatu,N Nipiko
info,player,Vanuatu,W Wotu
info,player,Vanuatu,JP Kaltapau
info,player,Vanuatu,W Nalisa
info,player,Vanuatu,J Vira
info,player,Vanuatu,R Tari
info,player,Vanuatu,AL Stephen
info,player,Vanuatu,TL Cutler
info,registry,people,AL Stephen,49f6d023
info,registry,people,Abdul Majid,384cebed
info,registry,people,Abdul Majid Abbasi,0cfb42b5
info,registry,people,Ahmer Bin Nisar,afbc53ba
info,registry,people,Ali Dawood,596982e6
info,registry,people,Haider Butt,14fd10b5
info,registry,people,Imran Anwar,a9a18e3e
info,registry,people,J Rasu,1021b6e5
info,registry,people,J Vira,2090e94d
info,registry,people,JD Allan,3758028b
info,registry,people,JP Kaltapau,d8dccff5
info,registry,people,Junaid Aziz,c39ee9e0
info,registry,people,N Nipiko,c498c510
info,registry,people,N Sivan,8f4a0102
info,registry,people,Nasir Ali,567675c8
info,registry,people,PK Matautaava,af19aa66
info,registry,people,R Tari,c4d19735
info,registry,people,Ramesh Menon,4ed80d22
info,registry,people,S Veerapathiran,1e569fb0
info,registry,people,Sachin Kumar,b76b2d25
info,registry,people,Sohail Ahmed,4db71b2e
info,registry,people,TL Cutler,384fa385
info,registry,people,Tabarak Dar,2259c12d
info,registry,people,Ubaid Minhas,87493f1d
info,registry,people,Umer Imtiaz,7b729851
info,registry,people,V Kalidas,42d76418
info,registry,people,W Nalisa,673be48f
info,registry,people,W Wotu,6b25ef46
