version,2.2.0
info,balls_per_over,6
info,team,Sri Lanka
info,team,United States of America
info,gender,female
info,season,2024
info,date,2024/05/03
info,event,ICC Women's T20 World Cup Qualifier
info,match_number,19
info,venue,"Tolerance Oval, Abu Dhabi"
info,city,Abu Dhabi
info,toss_winner,Sri Lanka
info,toss_decision,bat
info,player_of_match,AC Jayangani
info,umpire,K Klaaste
info,umpire,N Janani
info,reserve_umpire,Shivani Mishra
info,match_referee,SM Bartlett
info,winner,Sri Lanka
info,winner_runs,18
info,player,Sri Lanka,RMVD Gunaratne
info,player,Sri Lanka,AC Jayangani
info,player,Sri Lanka,H Madavi
info,player,Sri Lanka,H Karunaratne
info,player,Sri Lanka,NND de Silva
info,player,Sri Lanka,MAA Sanjeewani
info,player,Sri Lanka,I Ranaweera
info,player,Sri Lanka,KDU Prabodhani
info,player,Sri Lanka,BMSM Kumari
info,player,Sri Lanka,WGAKK Kulasuriya
info,player,Sri Lanka,S Gimhani
info,player,United States of America,D Dhingra
info,player,United States of America,A Kolan
info,player,United States of America,S Sriharsha
info,player,United States of America,Pooja Ganesh
info,player,United States of America,AI Chudasama
info,player,United States of America,Pooja Shah
info,player,United States of America,IM Vaghela
info,player,United States of America,G Kodali
info,player,United States of America,JM Willathgamuwa
info,player,United States of America,S Immadi
info,player,United States of America,ST Eyyunni
info,registry,people,A Kolan,85f5735b
info,registry,people,AC Jayangani,ac56b5a7
info,registry,people,AI Chudasama,9414a81c
info,registry,people,BMSM Kumari,b55fb828
info,registry,people,D Dhingra,b0dc5d0d
info,registry,people,G Kodali,f606177e
info,registry,people,H Karunaratne,f8e27d4a
info,registry,people,H Madavi,85021bcd
info,registry,people,I Ranaweera,a61850e6
info,registry,people,IM Vaghela,8d62fc14
info,registry,people,JM Willathgamuwa,0a10b268
info,registry,people,K Klaaste,6cc1d918
info,registry,people,KDU Prabodhani,a0fdf513
info,registry,people,MAA Sanjeewani,318a4039
info,registry,people,N Janani,d06a665d
info,registry,people,NND de Silva,f0b4294e
info,registry,people,Pooja Ganesh,a186b627
info,registry,people,Pooja Shah,622cdc98
info,registry,people,RMVD Gunaratne,9e866b59
info,registry,people,S Gimhani,11b78c67
info,registry,people,S Immadi,a6dd06d6
info,registry,people,S Sriharsha,89f6c26f
info,registry,people,SM Bartlett,7ba18406
info,registry,people,ST Eyyunni,3da7a16e
info,registry,people,Shivani Mishra,2982a0c7
info,registry,people,WGAKK Kulasuriya,550373ea
