version,2.2.0
info,balls_per_over,6
info,team,Malaysia
info,team,Qatar
info,gender,male
info,season,2024
info,date,2024/04/15
info,event,ACC Men's Premier Cup
info,match_number,12
info,venue,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2)
info,city,Al Amarat
info,toss_winner,Qatar
info,toss_decision,field
info,player_of_match,H Rathod
info,umpire,Rahul Asher
info,umpire,VK Jha
info,reserve_umpire,Ahmed Shah Durrani
info,tv_umpire,Tabarak Dar
info,match_referee,Selim Shahid
info,winner,Qatar
info,winner_wickets,4
info,player,Malaysia,Muhammad Amir
info,player,Malaysia,Virandeep Singh
info,player,Malaysia,S Muniandy
info,player,Malaysia,Syed Aziz
info,player,Malaysia,Ahmed Faiz
info,player,Malaysia,Ahmed Aqeel
info,player,Malaysia,Nazmus Sakib
info,player,Malaysia,S Vijay Unni
info,player,Malaysia,Khizar Hayat
info,player,Malaysia,Muhammad Wafiq
info,player,Malaysia,Pavandeep Singh
info,player,Qatar,Kamran Khan
info,player,Qatar,Saqlain Arshad
info,player,Qatar,Mohammad Ahnaff
info,player,Qatar,Muhammad Tanveer
info,player,Qatar,Shahzaib Jamil
info,player,Qatar,Mohammed Irshad
info,player,Qatar,H Rathod
info,player,Qatar,Gayan Munaweera
info,player,Qatar,Amir Farooq
info,player,Qatar,Ikramullah Khan
info,player,Qatar,Musawar Shah
info,registry,people,Ahmed Aqeel,92f0e10e
info,registry,people,Ahmed Faiz,f6b4f746
info,registry,people,Ahmed Shah Durrani,af23265a
info,registry,people,Amir Farooq,6e991bd4
info,registry,people,Gayan Munaweera,62141a22
info,registry,people,H Rathod,1f943bef
info,registry,people,Ikramullah Khan,c6e1354c
info,registry,people,Kamran Khan,922e3dcc
info,registry,people,Khizar Hayat,78bbeba1
info,registry,people,Mohammad Ahnaff,9b85a13a
info,registry,people,Mohammed Irshad,1a54d618
info,registry,people,Muhammad Amir,60bec5c3
info,registry,people,Muhammad Tanveer,aef39fe4
info,registry,people,Muhammad Wafiq,f104c434
info,registry,people,Musawar Shah,d482c8b8
info,registry,people,Nazmus Sakib,53967e23
info,registry,people,Pavandeep Singh,78fcc740
info,registry,people,Rahul Asher,4956b0bf
info,registry,people,S Muniandy,57fcfd3b
info,registry,people,S Vijay Unni,f737ab44
info,registry,people,Saqlain Arshad,71ad618b
info,registry,people,Selim Shahid,b478bce3
info,registry,people,Shahzaib Jamil,fbb6d1a7
info,registry,people,Syed Aziz,6667067e
info,registry,people,Tabarak Dar,2259c12d
info,registry,people,VK Jha,5d46eb72
info,registry,people,Virandeep Singh,415d30b6
