version,2.2.0
info,balls_per_over,6
info,team,Bahrain
info,team,Qatar
info,gender,female
info,season,2024/25
info,date,2024/12/07
info,event,Bahrain Women tour of Qatar
info,match_number,4
info,venue,"West End Park International Cricket Stadium, Doha"
info,city,Doha
info,toss_winner,Qatar
info,toss_decision,field
info,player_of_match,Rizpha Bano
info,umpire,Mohammad Nasim
info,umpire,Muhammad Usman
info,reserve_umpire,Inam-ul-Haq
info,winner,Qatar
info,winner_wickets,9
info,player,Bahrain,Zayneb Fazil
info,player,Bahrain,R Rodrigo
info,player,Bahrain,Poorvaja Jagdeesha
info,player,Bahrain,HMD Rasangika
info,player,Bahrain,I Suhun
info,player,Bahrain,Abeera Waris
info,player,Bahrain,Sadamali Bhakshala
info,player,Bahrain,Sana Butt
info,player,Bahrain,Saee Parkhi
info,player,Bahrain,JT Matadha
info,player,Bahrain,Shruti Yadav
info,player,Qatar,Rizpha Bano
info,player,Qatar,Shahreeennawab
info,player,Qatar,Aysha
info,player,Qatar,S Thapa
info,player,Qatar,Sarrinah Ahmed
info,player,Qatar,DM Kavinisseri
info,player,Qatar,Amma Kashif
info,player,Qatar,A Mare
info,player,Qatar,Roheed Akhtar
info,player,Qatar,SA Panayan
info,player,Qatar,MT Jacob
info,registry,people,A Mare,57a25400
info,registry,people,Abeera Waris,01396dc6
info,registry,people,Amma Kashif,97b8dc3d
info,registry,people,Aysha,37ceee4e
info,registry,people,DM Kavinisseri,efbd6d65
info,registry,people,HMD Rasangika,d6f9dfd6
info,registry,people,I Suhun,41bfb2a9
info,registry,people,Inam-ul-Haq,15c766c3
info,registry,people,JT Matadha,400c06e1
info,registry,people,MT Jacob,f1750a74
info,registry,people,Mohammad Nasim,0aaa8310
info,registry,people,Muhammad Usman,05b35689
info,registry,people,Poorvaja Jagdeesha,322855f7
info,registry,people,R Rodrigo,fe676043
info,registry,people,Rizpha Bano,c7832845
info,registry,people,Roheed Akhtar,c24a759a
info,registry,people,S Thapa,36d3ed28
info,registry,people,SA Panayan,cad60789
info,registry,people,Sadamali Bhakshala,89df3901
info,registry,people,Saee Parkhi,b60682f2
info,registry,people,Sana Butt,0f49b970
info,registry,people,Sarrinah Ahmed,d949bc42
info,registry,people,Shahreeennawab,faa8843f
info,registry,people,Shruti Yadav,c63fd74d
info,registry,people,Zayneb Fazil,d333e575
