version,2.2.0
info,balls_per_over,6
info,team,Pakistan
info,team,New Zealand
info,gender,male
info,season,2024/25
info,date,2025/03/18
info,event,Pakistan tour of New Zealand
info,match_number,2
info,venue,"University Oval, Dunedin"
info,city,Dunedin
info,toss_winner,New Zealand
info,toss_decision,field
info,player_of_match,TL Seifert
info,umpire,CM Brown
info,umpire,WR Knights
info,reserve_umpire,SB Haig
info,tv_umpire,SJ Nogajski
info,match_referee,JJ Crowe
info,winner,New Zealand
info,winner_wickets,5
info,player,Pakistan,Mohammad Haris
info,player,Pakistan,Hassan Nawaz
info,player,Pakistan,Agha Salman
info,player,Pakistan,Irfan Khan
info,player,Pakistan,Khushdil Shah
info,player,Pakistan,Shadab Khan
info,player,Pakistan,Abdul Samad
info,player,Pakistan,Jahandad Khan
info,player,Pakistan,Shaheen Shah Afridi
info,player,Pakistan,Haris Rauf
info,player,Pakistan,Mohammad Ali
info,player,New Zealand,TL Seifert
info,player,New Zealand,FH Allen
info,player,New Zealand,MS Chapman
info,player,New Zealand,DJ Mitchell
info,player,New Zealand,JDS Neesham
info,player,New Zealand,MJ Hay
info,player,New Zealand,MG Bracewell
info,player,New Zealand,ZGF Foulkes
info,player,New Zealand,BV Sears
info,player,New Zealand,IS Sodhi
info,player,New Zealand,JA Duffy
info,registry,people,Abdul Samad,8e554b6b
info,registry,people,Agha Salman,89c16049
info,registry,people,BV Sears,e1891e00
info,registry,people,CM Brown,448f4f1c
info,registry,people,DJ Mitchell,eade4650
info,registry,people,FH Allen,bf74b130
info,registry,people,Haris Rauf,24bb1c2f
info,registry,people,Hassan Nawaz,26a8b2fe
info,registry,people,IS Sodhi,641ac5ff
info,registry,people,Irfan Khan,ee95065d
info,registry,people,JA Duffy,dadbdb68
info,registry,people,JDS Neesham,9219eff0
info,registry,people,JJ Crowe,2e760301
info,registry,people,Jahandad Khan,22d73540
info,registry,people,Khushdil Shah,fce581b5
info,registry,people,MG Bracewell,e38bce7a
info,registry,people,MJ Hay,732f711b
info,registry,people,MS Chapman,7fa12533
info,registry,people,Mohammad Ali,a86a37ab
info,registry,people,Mohammad Haris,ff3f6fc1
info,registry,people,SB Haig,811655b3
info,registry,people,SJ Nogajski,9b3f9323
info,registry,people,Shadab Khan,9de62878
info,registry,people,Shaheen Shah Afridi,45a7e761
info,registry,people,TL Seifert,4663bd23
info,registry,people,WR Knights,63cbf8d8
info,registry,people,ZGF Foulkes,30f92334
