version,2.2.0
info,balls_per_over,6
info,team,Namibia
info,team,Tanzania
info,gender,male
info,season,2023/24
info,date,2023/11/28
info,event,ICC Men's T20 World Cup Africa Region Qualifier
info,match_number,15
info,venue,"Wanderers Cricket Ground, Windhoek"
info,city,Windhoek
info,toss_winner,Tanzania
info,toss_decision,field
info,player_of_match,JJ Smit
info,umpire,F Mutizwa
info,umpire,IO Oyieko
info,reserve_umpire,Kehinde Olanbiwonnu
info,match_referee,GH Pienaar
info,winner,Namibia
info,winner_runs,58
info,player,Namibia,M van Lingen
info,player,Namibia,N Davin
info,player,Namibia,MG Erasmus
info,player,Namibia,JJ Smit
info,player,Namibia,JN Frylinck
info,player,Namibia,D Wiese
info,player,Namibia,ZE Green
info,player,Namibia,JN Loftie-Eaton
info,player,Namibia,HN Ya France
info,player,Namibia,BM Scholtz
info,player,Namibia,T Lungameni
info,player,Tanzania,AR Patwa
info,player,Tanzania,II Selemani
info,player,Tanzania,MO Kitunda
info,player,Tanzania,AP Rajeevan
info,player,Tanzania,Akhil Anil
info,player,Tanzania,M Yunusu Issa
info,player,Tanzania,K Nassoro
info,player,Tanzania,AM Kimote
info,player,Tanzania,JJ Nyambo
info,player,Tanzania,YM Nkanya
info,player,Tanzania,SA Jumbe
info,registry,people,AM Kimote,34e36b65
info,registry,people,AP Rajeevan,63d6f031
info,registry,people,AR Patwa,b43f7a6a
info,registry,people,Akhil Anil,c06c25fd
info,registry,people,BM Scholtz,e85d03d6
info,registry,people,D Wiese,aa8d28ae
info,registry,people,F Mutizwa,d3e83eef
info,registry,people,GH Pienaar,3516e46b
info,registry,people,HN Ya France,915264c2
info,registry,people,II Selemani,b2dadc51
info,registry,people,IO Oyieko,de4828fa
info,registry,people,JJ Nyambo,ffb3b559
info,registry,people,JJ Smit,bb134e5c
info,registry,people,JN Frylinck,3c87f0c3
info,registry,people,JN Loftie-Eaton,f468293b
info,registry,people,K Nassoro,29ee9bf9
info,registry,people,Kehinde Olanbiwonnu,e7e9f2cd
info,registry,people,M Yunusu Issa,bbab35a3
info,registry,people,M van Lingen,7eb36269
info,registry,people,MG Erasmus,95a5e066
info,registry,people,MO Kitunda,badef0dc
info,registry,people,N Davin,72e361fe
info,registry,people,SA Jumbe,91056862
info,registry,people,T Lungameni,1688f2dc
info,registry,people,YM Nkanya,9238dd92
info,registry,people,ZE Green,8716233e
