version,2.2.0
info,balls_per_over,6
info,team,Gibraltar
info,team,Czech Republic
info,gender,female
info,season,2024
info,date,2024/06/16
info,event,Women Central Europe Cup
info,match_number,6
info,venue,"Scott Page Field, Vinor"
info,city,Prague
info,toss_winner,Gibraltar
info,toss_decision,bat
info,player_of_match,EAS Ferrary
info,umpire,JA Stiglitz
info,umpire,P Vincent
info,reserve_umpire,C Tebb
info,match_referee,P Sadasivan
info,winner,Gibraltar
info,winner_runs,104
info,player,Gibraltar,AIV Benatar
info,player,Gibraltar,N Caruana
info,player,Gibraltar,CT McNally
info,player,Gibraltar,EAS Ferrary
info,player,Gibraltar,RA Reilly
info,player,Gibraltar,LJ Payas
info,player,Gibraltar,YS Blagg
info,player,Gibraltar,H Mumford
info,player,Gibraltar,S Barton
info,player,Gibraltar,P Raghunath
info,player,Gibraltar,Ying King To
info,player,Czech Republic,A Kshirsagar
info,player,Czech Republic,A Joshi
info,player,Czech Republic,T Kolcunova
info,player,Czech Republic,K Tesarikova
info,player,Czech Republic,Z Franova
info,player,Czech Republic,J Kominkova
info,player,Czech Republic,S Kolcunova
info,player,Czech Republic,E Kuncova
info,player,Czech Republic,R Mikulaskova
info,player,Czech Republic,Z Flamikova
info,player,Czech Republic,B Pavlinakova
info,registry,people,A Joshi,a35e3f07
info,registry,people,A Kshirsagar,80b34521
info,registry,people,AIV Benatar,e8bdbbca
info,registry,people,B Pavlinakova,8663822d
info,registry,people,C Tebb,5e7d78cd
info,registry,people,CT McNally,6a32ef43
info,registry,people,E Kuncova,7f2f40fa
info,registry,people,EAS Ferrary,c3c905ae
info,registry,people,H Mumford,6462c64b
info,registry,people,J Kominkova,d5595998
info,registry,people,JA Stiglitz,7195065a
info,registry,people,K Tesarikova,42a7d394
info,registry,people,LJ Payas,49355360
info,registry,people,N Caruana,00d1544c
info,registry,people,P Raghunath,2e287171
info,registry,people,P Sadasivan,8be86ab6
info,registry,people,P Vincent,afb1787b
info,registry,people,R Mikulaskova,faa05631
info,registry,people,RA Reilly,77276fff
info,registry,people,S Barton,f7dd8b46
info,registry,people,S Kolcunova,7eba546e
info,registry,people,T Kolcunova,50102dea
info,registry,people,YS Blagg,3aac5463
info,registry,people,Ying King To,1f44bd34
info,registry,people,Z Flamikova,3c0cfb7b
info,registry,people,Z Franova,55aabdef
