version,2.2.0
info,balls_per_over,6
info,team,Bhutan
info,team,Thailand
info,gender,male
info,season,2023
info,date,2023/07/31
info,event,ICC Men's T20 World Cup Asia B Qualifier
info,match_number,8
info,venue,"Bayuemas Oval, Kuala Lumpur"
info,city,Kuala Lumpur
info,toss_winner,Thailand
info,toss_decision,field
info,player_of_match,AP Yadav
info,umpire,Ramasamy Venkatesh
info,umpire,V Kalidas
info,reserve_umpire,VG Rathi
info,match_referee,JM Pereira
info,winner,Thailand
info,winner_wickets,8
info,player,Bhutan,Tenjin Rabgey
info,player,Bhutan,S Pradhan
info,player,Bhutan,Namgay Thinley
info,player,Bhutan,Tashi Phuntsho
info,player,Bhutan,K Ghalley
info,player,Bhutan,GK Ghalley
info,player,Bhutan,S Loday
info,player,Bhutan,S Chophel
info,player,Bhutan,T Wangchuk
info,player,Bhutan,A Mongar
info,player,Bhutan,Karma Dorji
info,player,Thailand,S Desungnoen
info,player,Thailand,S Rungrueang
info,player,Thailand,AP Yadav
info,player,Thailand,N Nuntarach
info,player,Thailand,J Coetzee
info,player,Thailand,Robert Raina
info,player,Thailand,C Chatphaisan
info,player,Thailand,P Suanchuai
info,player,Thailand,Sarawut Maliwan
info,player,Thailand,K Namchaikul
info,player,Thailand,N Senamontree
info,registry,people,A Mongar,940255af
info,registry,people,AP Yadav,a5501504
info,registry,people,C Chatphaisan,85c56be8
info,registry,people,GK Ghalley,2d1b6dee
info,registry,people,J Coetzee,3ad06915
info,registry,people,JM Pereira,f9a4a039
info,registry,people,K Ghalley,55d07946
info,registry,people,K Namchaikul,f4ccbe6f
info,registry,people,Karma Dorji,80058153
info,registry,people,N Nuntarach,9e3575ce
info,registry,people,N Senamontree,44e00a4c
info,registry,people,Namgay Thinley,9c333e40
info,registry,people,P Suanchuai,e6948355
info,registry,people,Ramasamy Venkatesh,8ad68ea7
info,registry,people,Robert Raina,8e38d470
info,registry,people,S Chophel,45f4af74
info,registry,people,S Desungnoen,3eb26dc4
info,registry,people,S Loday,448dab1a
info,registry,people,S Pradhan,04f0d409
info,registry,people,S Rungrueang,35ae9e8a
info,registry,people,Sarawut Maliwan,36a0a88c
info,registry,people,T Wangchuk,39799e49
info,registry,people,Tashi Phuntsho,43d365ca
info,registry,people,Tenjin Rabgey,1fed517a
info,registry,people,V Kalidas,42d76418
info,registry,people,VG Rathi,144e5b16
