version,2.2.0
info,balls_per_over,6
info,team,Scotland
info,team,Netherlands
info,gender,male
info,season,2024
info,date,2024/05/22
info,event,Netherlands Tri-Nation T20I Series
info,match_number,4
info,venue,"Sportpark Westvliet, The Hague"
info,city,The Hague
info,toss_winner,Netherlands
info,toss_decision,field
info,player_of_match,HG Munsey
info,umpire,N Bathi
info,umpire,WPM van Liemt
info,reserve_umpire,Rizwan Akram
info,match_referee,Phil Whitticase
info,winner,Scotland
info,winner_runs,71
info,player,Scotland,HG Munsey
info,player,Scotland,OJ Hairs
info,player,Scotland,C Tear
info,player,Scotland,RD Berrington
info,player,Scotland,MH Cross
info,player,Scotland,MA Leask
info,player,Scotland,CN Greaves
info,player,Scotland,MRJ Watt
info,player,Scotland,CB Sole
info,player,Scotland,GT Main
info,player,Scotland,BJ Currie
info,player,Netherlands,M Levitt
info,player,Netherlands,Vikramjit Singh
info,player,Netherlands,SA Engelbrecht
info,player,Netherlands,BFW de Leede
info,player,Netherlands,SA Edwards
info,player,Netherlands,W Barresi
info,player,Netherlands,LV van Beek
info,player,Netherlands,TJG Pringle
info,player,Netherlands,A Dutt
info,player,Netherlands,K Klein
info,player,Netherlands,VJ Kingma
info,registry,people,A Dutt,803dbf1d
info,registry,people,BFW de Leede,fc4375ef
info,registry,people,BJ Currie,2ecd844a
info,registry,people,C Tear,7ffe4817
info,registry,people,CB Sole,469ccead
info,registry,people,CN Greaves,f42064d5
info,registry,people,GT Main,4ebc70ca
info,registry,people,HG Munsey,ff014c34
info,registry,people,K Klein,374bb5e7
info,registry,people,LV van Beek,782fb776
info,registry,people,M Levitt,6a71ba3a
info,registry,people,MA Leask,28131839
info,registry,people,MH Cross,8b261d84
info,registry,people,MRJ Watt,1252f71a
info,registry,people,N Bathi,96a0edf9
info,registry,people,OJ Hairs,c8a7b014
info,registry,people,Phil Whitticase,99d5f6fa
info,registry,people,RD Berrington,e21bc7f3
info,registry,people,Rizwan Akram,b5346f1e
info,registry,people,SA Edwards,b59db04f
info,registry,people,SA Engelbrecht,81a0e294
info,registry,people,TJG Pringle,8ce2080b
info,registry,people,VJ Kingma,3a7ea906
info,registry,people,Vikramjit Singh,2a9eee66
info,registry,people,W Barresi,0d677597
info,registry,people,WPM van Liemt,2bd48588
