version,2.2.0
info,balls_per_over,6
info,team,Bhutan
info,team,Thailand
info,gender,male
info,season,2023/24
info,date,2024/02/12
info,event,Quadrangular Twenty20 Series (Thailand)
info,match_number,1
info,venue,"Terdthai Cricket Ground, Bangkok"
info,city,Bangkok
info,toss_winner,Bhutan
info,toss_decision,bat
info,player_of_match,Sarawut Maliwan
info,umpire,AK Rana
info,umpire,KB Suresh
info,reserve_umpire,T Khalid
info,winner,Thailand
info,winner_wickets,10
info,player,Bhutan,S Pradhan
info,player,Bhutan,JN Dorji
info,player,Bhutan,Tenjin Rabgey
info,player,Bhutan,RM Dorji
info,player,Bhutan,S Loday
info,player,Bhutan,T Jamtsho
info,player,Bhutan,N Chejay
info,player,Bhutan,Namgay Thinley
info,player,Bhutan,T Wangchuk
info,player,Bhutan,Karma Dorji
info,player,Bhutan,S Yeshi
info,player,Thailand,AP Yadav
info,player,Thailand,C Chatphaisan
info,player,Thailand,Robert Raina
info,player,Thailand,MK Thakur
info,player,Thailand,N Nuntarach
info,player,Thailand,AV Lazarus
info,player,Thailand,C Pengkumta
info,player,Thailand,K Namchaikul
info,player,Thailand,N Senamontree
info,player,Thailand,Y Saranonnakkun
info,player,Thailand,Sarawut Maliwan
info,registry,people,AK Rana,562d74d0
info,registry,people,AP Yadav,a5501504
info,registry,people,AV Lazarus,30c917bf
info,registry,people,C Chatphaisan,85c56be8
info,registry,people,C Pengkumta,b3540b2a
info,registry,people,JN Dorji,a73251ff
info,registry,people,K Namchaikul,f4ccbe6f
info,registry,people,KB Suresh,40316210
info,registry,people,Karma Dorji,80058153
info,registry,people,MK Thakur,2d9451cc
info,registry,people,N Chejay,a9e63549
info,registry,people,N Nuntarach,9e3575ce
info,registry,people,N Senamontree,44e00a4c
info,registry,people,Namgay Thinley,9c333e40
info,registry,people,RM Dorji,3d7f02d4
info,registry,people,Robert Raina,8e38d470
info,registry,people,S Loday,448dab1a
info,registry,people,S Pradhan,04f0d409
info,registry,people,S Yeshi,0c24fb7b
info,registry,people,Sarawut Maliwan,36a0a88c
info,registry,people,T Jamtsho,c01d1c0a
info,registry,people,T Khalid,9168597e
info,registry,people,T Wangchuk,39799e49
info,registry,people,Tenjin Rabgey,1fed517a
info,registry,people,Y Saranonnakkun,9c93c0a3
