version,2.2.0
info,balls_per_over,6
info,team,Switzerland
info,team,Serbia
info,gender,male
info,season,2024
info,date,2024/07/11
info,event,ICC Men's T20 World Cup Sub Regional Europe Qualifier
info,match_number,14
info,venue,Bayer Uerdingen Cricket Ground
info,city,Krefeld
info,toss_winner,Switzerland
info,toss_decision,bat
info,player_of_match,Abdullah Rana
info,umpire,M Jameson
info,umpire,N Bathi
info,reserve_umpire,DH Mclean
info,match_referee,H Pack
info,winner,Switzerland
info,winner_runs,40
info,player,Switzerland,Faheem Nazir
info,player,Switzerland,Idrees Ul Haque
info,player,Switzerland,Ahmed Hassan
info,player,Switzerland,Arjun Vinod
info,player,Switzerland,Jai Sinh
info,player,Switzerland,M Stanikzai
info,player,Switzerland,Abdullah Rana
info,player,Switzerland,Ali Nayyer
info,player,Switzerland,NK Aneesh Kumar
info,player,Switzerland,Ashwin Vinod
info,player,Switzerland,K Fletcher
info,player,Serbia,S Ivetic
info,player,Serbia,Luka Woods
info,player,Serbia,A Dizija
info,player,Serbia,BM Pecic
info,player,Serbia,LA Dunbar
info,player,Serbia,V Zimonjic
info,player,Serbia,N Zimonjic
info,player,Serbia,MV Pavlovic
info,player,Serbia,P Nedeljkovic
info,player,Serbia,S Tosic
info,player,Serbia,AA Gajic
info,registry,people,A Dizija,6483c062
info,registry,people,AA Gajic,a768a762
info,registry,people,Abdullah Rana,c4ab9b94
info,registry,people,Ahmed Hassan,c439461b
info,registry,people,Ali Nayyer,4ec0443d
info,registry,people,Arjun Vinod,033e9d59
info,registry,people,Ashwin Vinod,8a99caa9
info,registry,people,BM Pecic,71093272
info,registry,people,DH Mclean,281d4749
info,registry,people,Faheem Nazir,7e00711f
info,registry,people,H Pack,fed53c91
info,registry,people,Idrees Ul Haque,d5b52676
info,registry,people,Jai Sinh,10ae134c
info,registry,people,K Fletcher,443d1fd8
info,registry,people,LA Dunbar,f50433e9
info,registry,people,Luka Woods,0996f198
info,registry,people,M Jameson,bdf1ffe3
info,registry,people,M Stanikzai,ad8d5827
info,registry,people,MV Pavlovic,2809b390
info,registry,people,N Bathi,96a0edf9
info,registry,people,N Zimonjic,638f451b
info,registry,people,NK Aneesh Kumar,e23da78c
info,registry,people,P Nedeljkovic,87e87dd2
info,registry,people,S Ivetic,04ab1575
info,registry,people,S Tosic,1c40f69f
info,registry,people,V Zimonjic,7f784eb8
