version,2.2.0
info,balls_per_over,6
info,team,Japan
info,team,Saudi Arabia
info,gender,male
info,season,2023/24
info,date,2024/02/09
info,event,Asian Cricket Council Men's Challenger Cup
info,venue,"Terdthai Cricket Ground, Bangkok"
info,city,Bangkok
info,toss_winner,Saudi Arabia
info,toss_decision,field
info,player_of_match,Usman Najeeb
info,umpire,Hardeep Jadeja
info,umpire,N Sivan
info,reserve_umpire,Arif Ansari
info,tv_umpire,Dorji
info,match_referee,G Sankaranarayanan
info,winner,Saudi Arabia
info,winner_wickets,10
info,player,Japan,L Yamamoto-Lake
info,player,Japan,KH Abe
info,player,Japan,K Kadowaki-Fleming
info,player,Japan,A Patmore
info,player,Japan,S Ravichandran
info,player,Japan,D Suzuki
info,player,Japan,I Takahashi
info,player,Japan,R Sakurano-Thomas
info,player,Japan,C Hinze
info,player,Japan,R Drake
info,player,Japan,P Kumbhare
info,player,Saudi Arabia,Abdul Waheed
info,player,Saudi Arabia,Faisal Khan
info,player,Saudi Arabia,Manan Ali
info,player,Saudi Arabia,Hisham Sheikh
info,player,Saudi Arabia,Haseeb Ghafoor
info,player,Saudi Arabia,Ishtiaq Ahmad
info,player,Saudi Arabia,Atif-Ur-Rehman
info,player,Saudi Arabia,Usman Najeeb
info,player,Saudi Arabia,Usman Khalid
info,player,Saudi Arabia,Waqar Ul Hassan
info,player,Saudi Arabia,Waji Ul Hassan
info,registry,people,A Patmore,85119526
info,registry,people,Abdul Waheed,23fa9ea9
info,registry,people,Arif Ansari,95957b9e
info,registry,people,Atif-Ur-Rehman,d20e22f7
info,registry,people,C Hinze,626af7ff
info,registry,people,D Suzuki,64c81abf
info,registry,people,Dorji,a6b688ef
info,registry,people,Faisal Khan,a7553f15
info,registry,people,G Sankaranarayanan,a4a348f9
info,registry,people,Hardeep Jadeja,552cf5a2
info,registry,people,Haseeb Ghafoor,454a7269
info,registry,people,Hisham Sheikh,c4441675
info,registry,people,I Takahashi,c988daa1
info,registry,people,Ishtiaq Ahmad,056b433b
info,registry,people,K Kadowaki-Fleming,33290a80
info,registry,people,KH Abe,f22d2247
info,registry,people,L Yamamoto-Lake,fa23405f
info,registry,people,Manan Ali,d0b643e1
info,registry,people,N Sivan,8f4a0102
info,registry,people,P Kumbhare,ef503cfe
info,registry,people,R Drake,57b3c398
info,registry,people,R Sakurano-Thomas,dd14abf5
info,registry,people,S Ravichandran,9f2be73d
info,registry,people,Usman Khalid,314f0889
info,registry,people,Usman Najeeb,615688b6
info,registry,people,Waji Ul Hassan,6892f9c3
info,registry,people,Waqar Ul Hassan,b704da31
