version,2.2.0
info,balls_per_over,6
info,team,Jersey
info,team,Ireland
info,gender,male
info,season,2023
info,date,2023/07/24
info,event,ICC Men's T20 World Cup Europe Region Qualifier
info,match_number,12
info,venue,"Goldenacre, Edinburgh"
info,city,Edinburgh
info,toss_winner,Ireland
info,toss_decision,field
info,player_of_match,BJ McCarthy
info,umpire,J Jensen
info,umpire,N Bathi
info,reserve_umpire,DH Mclean
info,match_referee,Phil Whitticase
info,winner,Ireland
info,winner_wickets,9
info,player,Jersey,H Carlyon
info,player,Jersey,J Sumerauer
info,player,Jersey,NA Greenwood
info,player,Jersey,JW Jenner
info,player,Jersey,AM Tribe
info,player,Jersey,B Ward
info,player,Jersey,JAD Lawrenson
info,player,Jersey,ZM Tribe
info,player,Jersey,CW Perchard
info,player,Jersey,RJG Palmer
info,player,Jersey,EJB Miles
info,player,Ireland,A Balbirnie
info,player,Ireland,PR Stirling
info,player,Ireland,L Tucker
info,player,Ireland,HT Tector
info,player,Ireland,C Campher
info,player,Ireland,GH Dockrell
info,player,Ireland,NA Rock
info,player,Ireland,MR Adair
info,player,Ireland,BJ McCarthy
info,player,Ireland,J Little
info,player,Ireland,B White
info,registry,people,A Balbirnie,6ef13460
info,registry,people,AM Tribe,86f84b37
info,registry,people,B Ward,9e0bd203
info,registry,people,B White,1a448be0
info,registry,people,BJ McCarthy,3766056b
info,registry,people,C Campher,478a63e7
info,registry,people,CW Perchard,9f998ed8
info,registry,people,DH Mclean,281d4749
info,registry,people,EJB Miles,6b46ce43
info,registry,people,GH Dockrell,99cddc5e
info,registry,people,H Carlyon,42bf1b7d
info,registry,people,HT Tector,59ea70a4
info,registry,people,J Jensen,fc80e7a2
info,registry,people,J Little,9061a703
info,registry,people,J Sumerauer,0b581ed6
info,registry,people,JAD Lawrenson,c810b349
info,registry,people,JW Jenner,32a8161e
info,registry,people,L Tucker,3979b5e0
info,registry,people,MR Adair,fc55ec67
info,registry,people,N Bathi,96a0edf9
info,registry,people,NA Greenwood,7ca68967
info,registry,people,NA Rock,43f4087c
info,registry,people,PR Stirling,cf494ffe
info,registry,people,Phil Whitticase,99d5f6fa
info,registry,people,RJG Palmer,bc6f8328
info,registry,people,ZM Tribe,96fe3e9f
