version,2.2.0
info,balls_per_over,6
info,team,Nigeria
info,team,Kenya
info,gender,male
info,season,2024
info,date,2024/07/13
info,event,Nigeria tour of Kenya
info,match_number,2
info,venue,"Sikh Union Club Ground, Nairobi"
info,city,Nairobi
info,toss_winner,Nigeria
info,toss_decision,bat
info,player_of_match,RN Patel
info,umpire,J Karuri
info,umpire,Nicholas Otieno
info,reserve_umpire,B Agutu
info,winner,Kenya
info,winner_wickets,4
info,player,Nigeria,Sulaimon Runsewe
info,player,Nigeria,Selim Salau
info,player,Nigeria,O Olaleye
info,player,Nigeria,D Ajekun
info,player,Nigeria,VD Adewoye
info,player,Nigeria,SA Okpe
info,player,Nigeria,P Useni
info,player,Nigeria,Mohameed Taiwo
info,player,Nigeria,M Akhigbe
info,player,Nigeria,Joshua Asia
info,player,Nigeria,I Uboh
info,player,Kenya,RN Patel
info,player,Kenya,N Mugabe
info,player,Kenya,P Sharma
info,player,Kenya,RR Patel
info,player,Kenya,SR Bhudia
info,player,Kenya,S Singh
info,player,Kenya,JS Kundi
info,player,Kenya,LN Oluoch
info,player,Kenya,F Mutua
info,player,Kenya,Vraj Patel
info,player,Kenya,P Koech
info,registry,people,B Agutu,9b120c69
info,registry,people,D Ajekun,2494ff9e
info,registry,people,F Mutua,21b67523
info,registry,people,I Uboh,baf3cf01
info,registry,people,J Karuri,5a9b694c
info,registry,people,JS Kundi,092ccf20
info,registry,people,Joshua Asia,c4ecc42c
info,registry,people,LN Oluoch,eb4f9c61
info,registry,people,M Akhigbe,32613355
info,registry,people,Mohameed Taiwo,a9d788e3
info,registry,people,N Mugabe,3e28808e
info,registry,people,Nicholas Otieno,130de2a7
info,registry,people,O Olaleye,811785d2
info,registry,people,P Koech,f4a0a615
info,registry,people,P Sharma,d047f983
info,registry,people,P Useni,71fa64d6
info,registry,people,RN Patel,db1bf9c2
info,registry,people,RR Patel,7fa6bd8e
info,registry,people,S Singh,612a395c
info,registry,people,SA Okpe,681f522f
info,registry,people,SR Bhudia,e9173fb0
info,registry,people,Selim Salau,d18d3a0f
info,registry,people,Sulaimon Runsewe,c25d26dc
info,registry,people,VD Adewoye,45a34a2d
info,registry,people,Vraj Patel,2af28253
