version,2.2.0
info,balls_per_over,6
info,team,Bahrain
info,team,Qatar
info,gender,female
info,season,2024/25
info,date,2024/12/08
info,event,Bahrain Women tour of Qatar
info,match_number,5
info,venue,"West End Park International Cricket Stadium, Doha"
info,city,Doha
info,toss_winner,Qatar
info,toss_decision,field
info,player_of_match,Shahreeennawab
info,umpire,Abdul Salam
info,umpire,Shivani Mishra
info,reserve_umpire,Abul Mafakhir Adnan
info,winner,Qatar
info,winner_wickets,4
info,player,Bahrain,Zayneb Fazil
info,player,Bahrain,R Rodrigo
info,player,Bahrain,Poorvaja Jagdeesha
info,player,Bahrain,HMD Rasangika
info,player,Bahrain,Abeera Waris
info,player,Bahrain,I Suhun
info,player,Bahrain,Sadamali Bhakshala
info,player,Bahrain,SJ Hate
info,player,Bahrain,Ashwini Govinda
info,player,Bahrain,JT Matadha
info,player,Bahrain,Shruti Yadav
info,player,Qatar,Rizpha Bano
info,player,Qatar,Shahreeennawab
info,player,Qatar,Aysha
info,player,Qatar,A Mare
info,player,Qatar,Roheed Akhtar
info,player,Qatar,SA Panayan
info,player,Qatar,S Thapa
info,player,Qatar,DM Kavinisseri
info,player,Qatar,Sarrinah Ahmed
info,player,Qatar,Amma Kashif
info,player,Qatar,Sargam Patel
info,registry,people,A Mare,57a25400
info,registry,people,Abdul Salam,ff2dd5e4
info,registry,people,Abeera Waris,01396dc6
info,registry,people,Abul Mafakhir Adnan,10d91ad1
info,registry,people,Amma Kashif,97b8dc3d
info,registry,people,Ashwini Govinda,5581a471
info,registry,people,Aysha,37ceee4e
info,registry,people,DM Kavinisseri,efbd6d65
info,registry,people,HMD Rasangika,d6f9dfd6
info,registry,people,I Suhun,41bfb2a9
info,registry,people,JT Matadha,400c06e1
info,registry,people,Poorvaja Jagdeesha,322855f7
info,registry,people,R Rodrigo,fe676043
info,registry,people,Rizpha Bano,c7832845
info,registry,people,Roheed Akhtar,c24a759a
info,registry,people,S Thapa,36d3ed28
info,registry,people,SA Panayan,cad60789
info,registry,people,SJ Hate,0262a6f3
info,registry,people,Sadamali Bhakshala,89df3901
info,registry,people,Sargam Patel,cad52f7c
info,registry,people,Sarrinah Ahmed,d949bc42
info,registry,people,Shahreeennawab,faa8843f
info,registry,people,Shivani Mishra,2982a0c7
info,registry,people,Shruti Yadav,c63fd74d
info,registry,people,Zayneb Fazil,d333e575
