version,2.2.0
info,balls_per_over,6
info,team,Sri Lanka
info,team,Uganda
info,gender,female
info,season,2024
info,date,2024/05/01
info,event,ICC Women's T20 World Cup Qualifier
info,match_number,14
info,venue,"Zayed Cricket Stadium, Abu Dhabi"
info,city,Abu Dhabi
info,toss_winner,Sri Lanka
info,toss_decision,bat
info,player_of_match,RMVD Gunaratne
info,umpire,S Dambanevana
info,umpire,SB Haig
info,reserve_umpire,Shivani Mishra
info,match_referee,GS Lakshmi
info,winner,Sri Lanka
info,winner_runs,67
info,player,Sri Lanka,RMVD Gunaratne
info,player,Sri Lanka,AC Jayangani
info,player,Sri Lanka,H Madavi
info,player,Sri Lanka,GWHM Perera
info,player,Sri Lanka,WK Dilhari
info,player,Sri Lanka,NND de Silva
info,player,Sri Lanka,MAA Sanjeewani
info,player,Sri Lanka,I Ranaweera
info,player,Sri Lanka,SIP Fernando
info,player,Sri Lanka,K Kavindi
info,player,Sri Lanka,S Gimhani
info,player,Uganda,J Mbabazi
info,player,Uganda,I Nakisuuyi
info,player,Uganda,R Musamali
info,player,Uganda,K Awino
info,player,Uganda,S Nampiina
info,player,Uganda,P Alako
info,player,Uganda,PE Kulume
info,player,Uganda,M Ariokot
info,player,Uganda,S Walaza
info,player,Uganda,C Aweko
info,player,Uganda,L Anyait
info,registry,people,AC Jayangani,ac56b5a7
info,registry,people,C Aweko,01c1b96c
info,registry,people,GS Lakshmi,ba8d5615
info,registry,people,GWHM Perera,53068b45
info,registry,people,H Madavi,85021bcd
info,registry,people,I Nakisuuyi,2f145a4f
info,registry,people,I Ranaweera,a61850e6
info,registry,people,J Mbabazi,aaa6e84c
info,registry,people,K Awino,c4e7749a
info,registry,people,K Kavindi,2fa916b3
info,registry,people,L Anyait,cffeef53
info,registry,people,M Ariokot,c328bc6c
info,registry,people,MAA Sanjeewani,318a4039
info,registry,people,NND de Silva,f0b4294e
info,registry,people,P Alako,fcf37e14
info,registry,people,PE Kulume,bb1a5f8a
info,registry,people,R Musamali,017cadb2
info,registry,people,RMVD Gunaratne,9e866b59
info,registry,people,S Dambanevana,039923bd
info,registry,people,S Gimhani,11b78c67
info,registry,people,S Nampiina,91d9aa26
info,registry,people,S Walaza,f67ea6d2
info,registry,people,SB Haig,811655b3
info,registry,people,SIP Fernando,5838cb64
info,registry,people,Shivani Mishra,2982a0c7
info,registry,people,WK Dilhari,c34a15e6
