version,2.2.0
info,balls_per_over,6
info,team,New Zealand
info,team,South Africa
info,gender,female
info,season,2024/25
info,date,2024/10/20
info,event,ICC Women's T20 World Cup
info,venue,Dubai International Cricket Stadium
info,city,Dubai
info,toss_winner,South Africa
info,toss_decision,field
info,player_of_match,AC Kerr
info,umpire,CA Polosak
info,umpire,N Perera
info,reserve_umpire,JM Williams
info,tv_umpire,AY Harris
info,match_referee,GS Lakshmi
info,winner,New Zealand
info,winner_runs,32
info,player,New Zealand,SW Bates
info,player,New Zealand,GE Plimmer
info,player,New Zealand,AC Kerr
info,player,New Zealand,SFM Devine
info,player,New Zealand,BM Halliday
info,player,New Zealand,ML Green
info,player,New Zealand,IC Gaze
info,player,New Zealand,RA Mair
info,player,New Zealand,LMM Tahuhu
info,player,New Zealand,EJ Carson
info,player,New Zealand,FC Jonas
info,player,South Africa,L Wolvaardt
info,player,South Africa,T Brits
info,player,South Africa,A Bosch
info,player,South Africa,M Kapp
info,player,South Africa,N de Klerk
info,player,South Africa,CL Tryon
info,player,South Africa,S Luus
info,player,South Africa,A Dercksen
info,player,South Africa,S Jafta
info,player,South Africa,N Mlaba
info,player,South Africa,A Khaka
info,registry,people,A Bosch,dcf0e8f4
info,registry,people,A Dercksen,d2b1f515
info,registry,people,A Khaka,0d518f89
info,registry,people,AC Kerr,7673c908
info,registry,people,AY Harris,90d95b82
info,registry,people,BM Halliday,efb6cb2a
info,registry,people,CA Polosak,26a360d2
info,registry,people,CL Tryon,4d4605e6
info,registry,people,EJ Carson,7693851c
info,registry,people,FC Jonas,6df697a9
info,registry,people,GE Plimmer,575494db
info,registry,people,GS Lakshmi,ba8d5615
info,registry,people,IC Gaze,60c250bf
info,registry,people,JM Williams,b61d9d70
info,registry,people,L Wolvaardt,e60f81c9
info,registry,people,LMM Tahuhu,60471339
info,registry,people,M Kapp,63e3b6b3
info,registry,people,ML Green,865eae1f
info,registry,people,N Mlaba,686362af
info,registry,people,N Perera,129709f9
info,registry,people,N de Klerk,ea544967
info,registry,people,RA Mair,d5eb8b84
info,registry,people,S Jafta,34304210
info,registry,people,S Luus,6d76bc23
info,registry,people,SFM Devine,de69af96
info,registry,people,SW Bates,89bbc67a
info,registry,people,T Brits,06659caa
