version,2.2.0
info,balls_per_over,6
info,team,Maldives
info,team,Bhutan
info,gender,male
info,season,2023/24
info,date,2024/02/16
info,event,Quadrangular Twenty20 Series (Thailand)
info,venue,"Terdthai Cricket Ground, Bangkok"
info,city,Bangkok
info,toss_winner,Maldives
info,toss_decision,bat
info,player_of_match,T Jamtsho
info,umpire,J Sanjeev
info,umpire,T Khalid
info,winner,Bhutan
info,winner_wickets,4
info,player,Maldives,Azyan Farhath
info,player,Maldives,Umar Adam
info,player,Maldives,KTK Rodrigo
info,player,Maldives,Hassan Rasheed
info,player,Maldives,Shaof Hassan
info,player,Maldives,Ismail Ali
info,player,Maldives,Ibrahim Hassan
info,player,Maldives,Ibrahim Rizan
info,player,Maldives,Nazwan Ismail
info,player,Maldives,Adam Khalaf
info,player,Maldives,Mohamed Ishmath
info,player,Bhutan,S Pradhan
info,player,Bhutan,JN Dorji
info,player,Bhutan,Tenjin Rabgey
info,player,Bhutan,T Jamtsho
info,player,Bhutan,N Chejay
info,player,Bhutan,RM Dorji
info,player,Bhutan,Namgay Thinley
info,player,Bhutan,Manoj Adhikari
info,player,Bhutan,T Wangchuk
info,player,Bhutan,S Yeshi
info,player,Bhutan,S Loday
info,registry,people,Adam Khalaf,96ff4de0
info,registry,people,Azyan Farhath,3e06e7ac
info,registry,people,Hassan Rasheed,1ca51098
info,registry,people,Ibrahim Hassan,4add4c98
info,registry,people,Ibrahim Rizan,7267e3cd
info,registry,people,Ismail Ali,5117fa55
info,registry,people,J Sanjeev,3cc94090
info,registry,people,JN Dorji,a73251ff
info,registry,people,KTK Rodrigo,a482add2
info,registry,people,Manoj Adhikari,26529e00
info,registry,people,Mohamed Azzam,e43c9818
info,registry,people,Mohamed Ishmath,8c7b9bfc
info,registry,people,N Chejay,a9e63549
info,registry,people,Namgay Thinley,9c333e40
info,registry,people,Nazwan Ismail,c8e5012c
info,registry,people,RM Dorji,3d7f02d4
info,registry,people,S Loday,448dab1a
info,registry,people,S Pradhan,04f0d409
info,registry,people,S Yeshi,0c24fb7b
info,registry,people,Shaof Hassan,f6e160d7
info,registry,people,T Jamtsho,c01d1c0a
info,registry,people,T Khalid,9168597e
info,registry,people,T Wangchuk,39799e49
info,registry,people,Tenjin Rabgey,1fed517a
info,registry,people,Umar Adam,5d77a96a
