version,2.2.0
info,balls_per_over,6
info,team,England
info,team,West Indies
info,gender,female
info,season,2024/25
info,date,2024/10/15
info,event,ICC Women's T20 World Cup
info,match_number,20
info,venue,Dubai International Cricket Stadium
info,city,Dubai
info,toss_winner,West Indies
info,toss_decision,field
info,player_of_match,Q Joseph
info,umpire,Eloise Sheridan
info,umpire,S Dambanevana
info,reserve_umpire,VG Rathi
info,tv_umpire,CA Polosak
info,match_referee,SA Fritz
info,winner,West Indies
info,winner_wickets,6
info,player,England,ME Bouchier
info,player,England,DN Wyatt
info,player,England,A Capsey
info,player,England,NR Sciver-Brunt
info,player,England,HC Knight
info,player,England,AE Jones
info,player,England,CE Dean
info,player,England,DR Gibson
info,player,England,S Ecclestone
info,player,England,S Glenn
info,player,England,LK Bell
info,player,West Indies,HK Matthews
info,player,West Indies,Q Joseph
info,player,West Indies,SA Campbelle
info,player,West Indies,DJS Dottin
info,player,West Indies,CA Henry
info,player,West Indies,AA Alleyne
info,player,West Indies,CN Nation
info,player,West Indies,Z James
info,player,West Indies,A Munisar
info,player,West Indies,ASS Fletcher
info,player,West Indies,K Ramharack
info,registry,people,A Capsey,910dd54e
info,registry,people,A Munisar,a811cb83
info,registry,people,AA Alleyne,4b0e3049
info,registry,people,AE Jones,b05e45e4
info,registry,people,ASS Fletcher,42d9dd09
info,registry,people,CA Henry,75820733
info,registry,people,CA Polosak,26a360d2
info,registry,people,CE Dean,c6625a26
info,registry,people,CN Nation,639000b6
info,registry,people,DJS Dottin,53bee17f
info,registry,people,DN Wyatt,a139c379
info,registry,people,DR Gibson,d2763568
info,registry,people,Eloise Sheridan,d8d43840
info,registry,people,HC Knight,4ba0289e
info,registry,people,HK Matthews,d32cf49a
info,registry,people,K Ramharack,321c980e
info,registry,people,LK Bell,38b4583c
info,registry,people,ME Bouchier,c2554b59
info,registry,people,NR Sciver-Brunt,f3a18a0c
info,registry,people,Q Joseph,d6164dc0
info,registry,people,S Dambanevana,039923bd
info,registry,people,S Ecclestone,cdb82f1c
info,registry,people,S Glenn,b34e0c77
info,registry,people,SA Campbelle,a7cd72b2
info,registry,people,SA Fritz,d15e60c8
info,registry,people,VG Rathi,144e5b16
info,registry,people,Z James,816af623
