version,2.2.0
info,balls_per_over,6
info,team,Japan
info,team,Cook Islands
info,gender,female
info,season,2023
info,date,2023/09/01
info,event,ICC Women's T20 World Cup East Asia-Pacific Region Qualifier
info,match_number,1
info,venue,Vanuatu Cricket Ground
info,city,Port Vila
info,toss_winner,Cook Islands
info,toss_decision,field
info,player_of_match,Erika Oda
info,umpire,K Tanuvasa
info,umpire,Kim Cotton
info,reserve_umpire,Ashlee Gibbons
info,match_referee,RW Stratford
info,winner,Japan
info,winner_runs,30
info,player,Japan,Erika Oda
info,player,Japan,H Iwasaki
info,player,Japan,A Chandel
info,player,Japan,M Yanagida
info,player,Japan,S Kato
info,player,Japan,H Goto
info,player,Japan,K Ota
info,player,Japan,Nonoha Yasumoto
info,player,Japan,Seika Sumi
info,player,Japan,E Toguchi-Quinn
info,player,Japan,A Kano
info,player,Cook Islands,Z Maeva
info,player,Cook Islands,P Maruariki
info,player,Cook Islands,J George
info,player,Cook Islands,S Vaia
info,player,Cook Islands,M Kaukura
info,player,Cook Islands,D Kataina
info,player,Cook Islands,K Mataora
info,player,Cook Islands,P Kaveao
info,player,Cook Islands,T Piakura
info,player,Cook Islands,T Maika
info,player,Cook Islands,S Samuels
info,registry,people,A Chandel,78fa5f6d
info,registry,people,A Kano,e92841c0
info,registry,people,Ashlee Gibbons,b81712f7
info,registry,people,D Kataina,3a370f15
info,registry,people,E Toguchi-Quinn,d144423b
info,registry,people,Erika Oda,4c8a1197
info,registry,people,H Goto,b3af5bff
info,registry,people,H Iwasaki,f2698c78
info,registry,people,J George,9044ee8e
info,registry,people,K Mataora,281cc1e8
info,registry,people,K Ota,211f48fe
info,registry,people,K Tanuvasa,34fa0472
info,registry,people,Kim Cotton,67a7c2ee
info,registry,people,M Kaukura,11d83c44
info,registry,people,M Yanagida,f20e7e23
info,registry,people,Nonoha Yasumoto,eb33378d
info,registry,people,P Kaveao,f536e967
info,registry,people,P Maruariki,dee2431f
info,registry,people,RW Stratford,85489579
info,registry,people,S Kato,ef9ff861
info,registry,people,S Samuels,d852095e
info,registry,people,S Vaia,78103121
info,registry,people,Seika Sumi,704b4c30
info,registry,people,T Maika,9782087e
info,registry,people,T Piakura,5b329799
info,registry,people,Z Maeva,34f0c9ad
