version,2.2.0
info,balls_per_over,6
info,team,Kenya
info,team,Rwanda
info,gender,female
info,season,2024/25
info,date,2024/11/02
info,event,Kenya Women tour of Rwanda
info,match_number,5
info,venue,"Gahanga B Ground, Rwanda"
info,city,Kigali City
info,toss_winner,Kenya
info,toss_decision,bat
info,player_of_match,MD Bimenyimana
info,umpire,D Hagenimana
info,umpire,Vicky Prajapati
info,reserve_umpire,Gaston Niyibizi
info,winner,Rwanda
info,winner_wickets,5
info,player,Kenya,Q Abel
info,player,Kenya,C Muthoni
info,player,Kenya,E Wachira
info,player,Kenya,ZM Hamisi
info,player,Kenya,V Ooko
info,player,Kenya,V Abuga
info,player,Kenya,JM Nthenya
info,player,Kenya,A Wanjira
info,player,Kenya,JS Ndanu
info,player,Kenya,F Odhiambo
info,player,Kenya,J Ajiambo
info,player,Rwanda,M Uwase
info,player,Rwanda,G Ishimwe
info,player,Rwanda,MD Bimenyimana
info,player,Rwanda,C Uwase
info,player,Rwanda,S Uwera
info,player,Rwanda,H Ishimwe
info,player,Rwanda,B Murekatete
info,player,Rwanda,A Ikuzwe
info,player,Rwanda,Geovanis Uwase
info,player,Rwanda,ZM Ishimwe
info,player,Rwanda,Rosine Irera
info,registry,people,A Ikuzwe,6762a445
info,registry,people,A Wanjira,b6015231
info,registry,people,B Murekatete,2d4317da
info,registry,people,C Muthoni,f85462b1
info,registry,people,C Uwase,808bb510
info,registry,people,D Hagenimana,de167462
info,registry,people,E Wachira,f5e70dd4
info,registry,people,F Odhiambo,97eb9a07
info,registry,people,G Ishimwe,b5ae57ee
info,registry,people,Gaston Niyibizi,eb99c84c
info,registry,people,Geovanis Uwase,088f22fd
info,registry,people,H Ishimwe,ffa296f7
info,registry,people,J Ajiambo,c3a998fa
info,registry,people,JM Nthenya,99efdb1b
info,registry,people,JS Ndanu,c27e0638
info,registry,people,M Uwase,7d6ce83f
info,registry,people,MD Bimenyimana,c1a0cebe
info,registry,people,Q Abel,2e988457
info,registry,people,Rosine Irera,b84718fd
info,registry,people,S Uwera,1ef174b8
info,registry,people,V Abuga,1ce58052
info,registry,people,V Ooko,2ae76bf6
info,registry,people,Vicky Prajapati,8926ed4e
info,registry,people,ZM Hamisi,8f0fd229
info,registry,people,ZM Ishimwe,c53682fb
