version,2.2.0
info,balls_per_over,6
info,team,Namibia
info,team,Hong Kong
info,gender,female
info,season,2024/25
info,date,2025/03/09
info,event,Women's T20 Quadrangular Series (in Uganda)
info,match_number,4
info,venue,Entebbe Cricket Oval
info,city,Entebbe
info,toss_winner,Namibia
info,toss_decision,bat
info,player_of_match,M Bibi
info,umpire,AY Harris
info,umpire,S Kintu
info,reserve_umpire,S Athuola
info,winner,Hong Kong
info,winner_wickets,4
info,player,Namibia,SA Wittmann
info,player,Namibia,M Mwatile
info,player,Namibia,Yasmeen Khan
info,player,Namibia,SN Shihepo
info,player,Namibia,JA Diergaardt
info,player,Namibia,E Van Zyl
info,player,Namibia,W Mwatile
info,player,Namibia,KA Green
info,player,Namibia,M Gorases
info,player,Namibia,S Tuhadeleni
info,player,Namibia,EU Kejarukua
info,player,Hong Kong,NT Miles
info,player,Hong Kong,Shanzeen Shahzad
info,player,Hong Kong,M Hill
info,player,Hong Kong,KY Chan
info,player,Hong Kong,Y Daswani
info,player,Hong Kong,M Bibi
info,player,Hong Kong,WK Lai
info,player,Hong Kong,M Wai Siu
info,player,Hong Kong,Chan Ka Man
info,player,Hong Kong,K Mahekdeep
info,player,Hong Kong,Iqra Sahar
info,registry,people,AY Harris,90d95b82
info,registry,people,Chan Ka Man,c4022bff
info,registry,people,E Van Zyl,79ff52b5
info,registry,people,EU Kejarukua,e7068bfd
info,registry,people,Iqra Sahar,aaccb8ca
info,registry,people,JA Diergaardt,b72a8938
info,registry,people,K Mahekdeep,d13c1b74
info,registry,people,KA Green,fa9fdefa
info,registry,people,KY Chan,6348c6e9
info,registry,people,M Bibi,34f86a2d
info,registry,people,M Gorases,d034d60a
info,registry,people,M Hill,bf5e7711
info,registry,people,M Mwatile,92b9e9af
info,registry,people,M Wai Siu,74eecff4
info,registry,people,NT Miles,d27d0835
info,registry,people,S Athuola,7c94cfd1
info,registry,people,S Kintu,ff387f93
info,registry,people,S Tuhadeleni,13f7c5f4
info,registry,people,SA Wittmann,531aef3b
info,registry,people,SN Shihepo,1b3f7dbb
info,registry,people,Shanzeen Shahzad,ce291858
info,registry,people,W Mwatile,5728635a
info,registry,people,WK Lai,6ab99b17
info,registry,people,Y Daswani,2038a273
info,registry,people,Yasmeen Khan,ade5c0c0
