version,2.2.0
info,balls_per_over,6
info,team,Saudi Arabia
info,team,Oman
info,gender,male
info,season,2022/23
info,date,2022/11/17
info,event,Desert Cup T20I Series
info,match_number,7
info,venue,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1)
info,city,Al Amarat
info,toss_winner,Oman
info,toss_decision,field
info,player_of_match,Zeeshan Maqsood
info,umpire,Azad KR
info,umpire,Vinod Babu
info,tv_umpire,Anantha Rajamani
info,match_referee,Jamil Zaidi
info,winner,Oman
info,winner_wickets,7
info,player,Saudi Arabia,Faisal Khan
info,player,Saudi Arabia,Saad Khan
info,player,Saudi Arabia,Kashif Siddique
info,player,Saudi Arabia,Abdul Waheed
info,player,Saudi Arabia,Irfan Sarfraz
info,player,Saudi Arabia,Irshad Mubbashar
info,player,Saudi Arabia,Haseeb Ghafoor
info,player,Saudi Arabia,Hisham Sheikh
info,player,Saudi Arabia,Imran Yousaf
info,player,Saudi Arabia,Atif-Ur-Rehman
info,player,Saudi Arabia,Muhammad Saqib
info,player,Oman,KH Prajapati
info,player,Oman,Jatinder Singh
info,player,Oman,Shoaib Khan
info,player,Oman,Rafiullah
info,player,Oman,Sandeep Goud
info,player,Oman,Naseem Khushi
info,player,Oman,Sufyan Mehmood
info,player,Oman,Bilal Khan
info,player,Oman,Kaleemullah
info,player,Oman,Zeeshan Maqsood
info,player,Oman,Mohammad Nadeem
info,registry,people,Abdul Waheed,23fa9ea9
info,registry,people,Anantha Rajamani,6c4ca034
info,registry,people,Atif-Ur-Rehman,d20e22f7
info,registry,people,Azad KR,d620b86a
info,registry,people,Bilal Khan,dcdb87f2
info,registry,people,Faisal Khan,a7553f15
info,registry,people,Haseeb Ghafoor,454a7269
info,registry,people,Hisham Sheikh,c4441675
info,registry,people,Imran Yousaf,5e67d4e0
info,registry,people,Irfan Sarfraz,ef5d54c6
info,registry,people,Irshad Mubbashar,58edb974
info,registry,people,Jamil Zaidi,3402e067
info,registry,people,Jatinder Singh,b80dd12c
info,registry,people,KH Prajapati,c4e73ff1
info,registry,people,Kaleemullah,72253b87
info,registry,people,Kashif Siddique,2513b4fe
info,registry,people,Mohammad Nadeem,c5d7b244
info,registry,people,Muhammad Saqib,9d6644a0
info,registry,people,Naseem Khushi,c63671e9
info,registry,people,Rafiullah,369cc49c
info,registry,people,Saad Khan,28e0f645
info,registry,people,Sandeep Goud,4e1c9f6e
info,registry,people,Shoaib Khan,21afb939
info,registry,people,Sufyan Mehmood,bf172ae6
info,registry,people,Vinod Babu,37e6187d
info,registry,people,Zeeshan Maqsood,34464143
