version,2.2.0
info,balls_per_over,6
info,team,South Africa
info,team,England
info,gender,female
info,season,2024/25
info,date,2024/10/07
info,event,ICC Women's T20 World Cup
info,match_number,9
info,venue,Sharjah Cricket Stadium
info,city,Sharjah
info,toss_winner,South Africa
info,toss_decision,bat
info,player_of_match,S Ecclestone
info,umpire,CA Polosak
info,umpire,JM Williams
info,reserve_umpire,N Perera
info,tv_umpire,VG Rathi
info,match_referee,JM Pereira
info,winner,England
info,winner_wickets,7
info,player,South Africa,L Wolvaardt
info,player,South Africa,T Brits
info,player,South Africa,A Bosch
info,player,South Africa,M Kapp
info,player,South Africa,CL Tryon
info,player,South Africa,A Dercksen
info,player,South Africa,S Luus
info,player,South Africa,N de Klerk
info,player,South Africa,S Jafta
info,player,South Africa,N Mlaba
info,player,South Africa,A Khaka
info,player,England,ME Bouchier
info,player,England,DN Wyatt
info,player,England,A Capsey
info,player,England,NR Sciver-Brunt
info,player,England,HC Knight
info,player,England,AE Jones
info,player,England,DR Gibson
info,player,England,CE Dean
info,player,England,S Ecclestone
info,player,England,S Glenn
info,player,England,LCN Smith
info,registry,people,A Bosch,dcf0e8f4
info,registry,people,A Capsey,910dd54e
info,registry,people,A Dercksen,d2b1f515
info,registry,people,A Khaka,0d518f89
info,registry,people,AE Jones,b05e45e4
info,registry,people,CA Polosak,26a360d2
info,registry,people,CE Dean,c6625a26
info,registry,people,CL Tryon,4d4605e6
info,registry,people,DN Wyatt,a139c379
info,registry,people,DR Gibson,d2763568
info,registry,people,HC Knight,4ba0289e
info,registry,people,JM Pereira,f9a4a039
info,registry,people,JM Williams,b61d9d70
info,registry,people,L Wolvaardt,e60f81c9
info,registry,people,LCN Smith,340202b0
info,registry,people,M Kapp,63e3b6b3
info,registry,people,ME Bouchier,c2554b59
info,registry,people,N Mlaba,686362af
info,registry,people,N Perera,129709f9
info,registry,people,N de Klerk,ea544967
info,registry,people,NR Sciver-Brunt,f3a18a0c
info,registry,people,S Ecclestone,cdb82f1c
info,registry,people,S Glenn,b34e0c77
info,registry,people,S Jafta,34304210
info,registry,people,S Luus,6d76bc23
info,registry,people,T Brits,06659caa
info,registry,people,VG Rathi,144e5b16
