version,2.2.0
info,balls_per_over,6
info,team,Bahrain
info,team,Malaysia
info,gender,male
info,season,2024/25
info,date,2025/03/13
info,event,Malaysia Tri-Nation T20I Series
info,match_number,4
info,venue,"Bayuemas Oval, Kuala Lumpur"
info,city,Kuala Lumpur
info,toss_winner,Malaysia
info,toss_decision,field
info,player_of_match,Sohail Ahmed
info,umpire,Rudy Ismandy
info,umpire,V Kalidas
info,reserve_umpire,N Sivan
info,match_referee,B Ramani
info,winner,Bahrain
info,winner_runs,35
info,player,Bahrain,Fiaz Ahmed
info,player,Bahrain,P Kurup
info,player,Bahrain,Asif Ali
info,player,Bahrain,Sohail Ahmed
info,player,Bahrain,Ahmer Bin Nisar
info,player,Bahrain,Junaid Aziz
info,player,Bahrain,Imran Anwar
info,player,Bahrain,Rizwan Butt
info,player,Bahrain,Imran Khan
info,player,Bahrain,Ali Dawood
info,player,Bahrain,Abdul Majid Abbasi
info,player,Malaysia,Syed Aziz
info,player,Malaysia,Ahmed Faiz
info,player,Malaysia,Virandeep Singh
info,player,Malaysia,Ahmed Aqeel
info,player,Malaysia,S Muniandy
info,player,Malaysia,S Vijay Unni
info,player,Malaysia,Khizar Hayat
info,player,Malaysia,Ainool Hafizs
info,player,Malaysia,Muhammad Wafiq
info,player,Malaysia,Pavandeep Singh
info,player,Malaysia,Muhammad Amir
info,registry,people,Abdul Majid Abbasi,0cfb42b5
info,registry,people,Ahmed Aqeel,92f0e10e
info,registry,people,Ahmed Faiz,f6b4f746
info,registry,people,Ahmer Bin Nisar,afbc53ba
info,registry,people,Ainool Hafizs,1bada9da
info,registry,people,Ali Dawood,596982e6
info,registry,people,Asif Ali,0a4736eb
info,registry,people,B Ramani,92ad5353
info,registry,people,Fiaz Ahmed,df1f2f29
info,registry,people,Imran Anwar,a9a18e3e
info,registry,people,Imran Khan,da3b91fd
info,registry,people,Junaid Aziz,c39ee9e0
info,registry,people,Khizar Hayat,78bbeba1
info,registry,people,Muhammad Amir,60bec5c3
info,registry,people,Muhammad Wafiq,f104c434
info,registry,people,N Sivan,8f4a0102
info,registry,people,P Kurup,50ceaef6
info,registry,people,Pavandeep Singh,78fcc740
info,registry,people,Rizwan Butt,e741ed8f
info,registry,people,Rudy Ismandy,84682045
info,registry,people,S Muniandy,57fcfd3b
info,registry,people,S Vijay Unni,f737ab44
info,registry,people,Sohail Ahmed,4db71b2e
info,registry,people,Syed Aziz,6667067e
info,registry,people,V Kalidas,42d76418
info,registry,people,Virandeep Singh,415d30b6
