version,2.2.0
info,balls_per_over,6
info,team,Botswana
info,team,Uganda
info,gender,male
info,season,2023
info,date,2023/06/17
info,event,Africa Continental Cup
info,match_number,13
info,venue,"Gymkhana Club Ground, Nairobi"
info,city,Nairobi
info,toss_winner,Botswana
info,toss_decision,bat
info,player_of_match,H Ssenyondo
info,umpire,IO Oyieko
info,umpire,J Karuri
info,reserve_umpire,Charles Kariuki
info,winner,Uganda
info,winner_wickets,7
info,player,Botswana,Ameer Saiyed
info,player,Botswana,V Balakrishnan
info,player,Botswana,K Motlanka
info,player,Botswana,R Nehonde
info,player,Botswana,V Mbazo
info,player,Botswana,P Silas
info,player,Botswana,T Tshose
info,player,Botswana,D Maisuria
info,player,Botswana,K Piet
info,player,Botswana,M Mooketsi
info,player,Botswana,B Khumalo
info,player,Uganda,RG Mukasa
info,player,Uganda,S Sesazi
info,player,Uganda,R Obuya
info,player,Uganda,Riazat Ali Shah
info,player,Uganda,AR Ramjani
info,player,Uganda,DM Nakrani
info,player,Uganda,H Ssenyondo
info,player,Uganda,K Waiswa
info,player,Uganda,CN Kakuru
info,player,Uganda,S Nsubuga
info,player,Uganda,P Murungi
info,registry,people,AR Ramjani,30d8136b
info,registry,people,Ameer Saiyed,2f22325f
info,registry,people,B Khumalo,33ab1f1c
info,registry,people,CN Kakuru,f6aed283
info,registry,people,Charles Kariuki,8de34db0
info,registry,people,D Maisuria,a96b36af
info,registry,people,DM Nakrani,46a7ac78
info,registry,people,H Ssenyondo,2b7609f1
info,registry,people,IO Oyieko,de4828fa
info,registry,people,J Karuri,5a9b694c
info,registry,people,K Motlanka,21549344
info,registry,people,K Piet,39fd9295
info,registry,people,K Waiswa,a3a275ec
info,registry,people,M Mooketsi,008a024c
info,registry,people,P Murungi,fbdc5ab1
info,registry,people,P Silas,9f2e1944
info,registry,people,R Nehonde,4393e047
info,registry,people,R Obuya,6bc04a3e
info,registry,people,RG Mukasa,011f6b42
info,registry,people,Riazat Ali Shah,269cc4ff
info,registry,people,S Nsubuga,58cb36aa
info,registry,people,S Sesazi,c2c975f9
info,registry,people,T Tshose,18ae55e4
info,registry,people,V Balakrishnan,0c1da0c4
info,registry,people,V Mbazo,a2317d14
