version,2.2.0
info,balls_per_over,6
info,team,India
info,team,South Africa
info,gender,female
info,season,2022/23
info,date,2023/01/28
info,event,South Africa Women's T20I Tri-Series
info,match_number,5
info,venue,"Buffalo Park, East London"
info,city,East London
info,toss_winner,India
info,toss_decision,bat
info,umpire,Lauren Agenbag
info,umpire,RN Hendricks
info,reserve_umpire,TC Mokorosi
info,tv_umpire,PJ Vosloo
info,match_referee,SA Fritz
info,outcome,no result
info,player,India,S Mandhana
info,player,India,JI Rodrigues
info,player,India,YH Bhatia
info,player,India,H Deol
info,player,India,H Kaur
info,player,India,DP Vaidya
info,player,India,DB Sharma
info,player,India,P Vastrakar
info,player,India,RP Yadav
info,player,India,S Pandey
info,player,India,RS Gayakwad
info,player,South Africa,T Brits
info,player,South Africa,L Wolvaardt
info,player,South Africa,M Kapp
info,player,South Africa,S Luus
info,player,South Africa,CL Tryon
info,player,South Africa,A Dercksen
info,player,South Africa,N de Klerk
info,player,South Africa,S Jafta
info,player,South Africa,TS Sekhukhune
info,player,South Africa,S Ismail
info,player,South Africa,N Mlaba
info,registry,people,A Dercksen,d2b1f515
info,registry,people,CL Tryon,4d4605e6
info,registry,people,DB Sharma,201fef33
info,registry,people,DP Vaidya,f9ded29b
info,registry,people,H Deol,3664712e
info,registry,people,H Kaur,53cd8da6
info,registry,people,JI Rodrigues,cb08b611
info,registry,people,L Wolvaardt,e60f81c9
info,registry,people,Lauren Agenbag,40849abd
info,registry,people,M Kapp,63e3b6b3
info,registry,people,N Mlaba,686362af
info,registry,people,N de Klerk,ea544967
info,registry,people,P Vastrakar,8026ea72
info,registry,people,PJ Vosloo,93a6d2d0
info,registry,people,RN Hendricks,92edb363
info,registry,people,RP Yadav,6c3aef71
info,registry,people,RS Gayakwad,237ec05b
info,registry,people,S Ismail,108c4c09
info,registry,people,S Jafta,34304210
info,registry,people,S Luus,6d76bc23
info,registry,people,S Mandhana,5d2eda89
info,registry,people,S Pandey,5463cb7a
info,registry,people,SA Fritz,d15e60c8
info,registry,people,T Brits,06659caa
info,registry,people,TC Mokorosi,e93c3cf8
info,registry,people,TS Sekhukhune,6e28e586
info,registry,people,YH Bhatia,9c3d4e8a
