version,2.2.0
info,balls_per_over,6
info,team,Pakistan
info,team,Bangladesh
info,gender,male
info,season,2023
info,date,2023/10/07
info,event,Asian Games Men's Cricket Competition
info,venue,Zhejiang University of Technology Cricket Field
info,city,Hangzhou
info,toss_winner,Bangladesh
info,toss_decision,field
info,umpire,Mahmood Kharoti
info,umpire,Sarika Prasad
info,reserve_umpire,N Sivan
info,tv_umpire,VG Rathi
info,match_referee,Prakash Bhatt
info,winner,Bangladesh
info,winner_wickets,6
info,method,D/L
info,player,Pakistan,Mirza Baig
info,player,Pakistan,Khushdil Shah
info,player,Pakistan,Omair Yousuf
info,player,Pakistan,Rohail Nazir
info,player,Pakistan,Mubasir Khan
info,player,Pakistan,Qasim Akram
info,player,Pakistan,Asif Ali
info,player,Pakistan,Arafat Minhas
info,player,Pakistan,Arshad Iqbal
info,player,Pakistan,Usman Qadir
info,player,Pakistan,Sufiyan Muqeem
info,player,Bangladesh,Zakir Hasan
info,player,Bangladesh,Afif Hossain
info,player,Bangladesh,Saif Hassan
info,player,Bangladesh,Yasir Ali Chowdhury
info,player,Bangladesh,Jaker Ali
info,player,Bangladesh,Rakibul Hasan
info,player,Bangladesh,Mahmudul Hasan Joy
info,player,Bangladesh,Shahadat Hossain
info,player,Bangladesh,Rishad Hossain
info,player,Bangladesh,R Mondol
info,player,Bangladesh,Hasan Murad
info,registry,people,Afif Hossain,37138918
info,registry,people,Arafat Minhas,f2e8b37c
info,registry,people,Arshad Iqbal,ed031922
info,registry,people,Asif Ali,0a4736eb
info,registry,people,Hasan Murad,da9f58aa
info,registry,people,Jaker Ali,cd56a813
info,registry,people,Khushdil Shah,fce581b5
info,registry,people,Mahmood Kharoti,d8ff8121
info,registry,people,Mahmudul Hasan Joy,4b51bd51
info,registry,people,Mirza Baig,96ce6752
info,registry,people,Mubasir Khan,7264b765
info,registry,people,N Sivan,8f4a0102
info,registry,people,Omair Yousuf,f8e3c0f8
info,registry,people,Prakash Bhatt,f848ab0b
info,registry,people,Qasim Akram,b6359668
info,registry,people,R Mondol,492ff0c2
info,registry,people,Rakibul Hasan,77768f72
info,registry,people,Rishad Hossain,5935d694
info,registry,people,Rohail Nazir,522bea89
info,registry,people,Saif Hassan,bb95564b
info,registry,people,Sarika Prasad,8ff397fa
info,registry,people,Shahadat Hossain,69e23303
info,registry,people,Sufiyan Muqeem,4277234d
info,registry,people,Usman Qadir,33742f04
info,registry,people,VG Rathi,144e5b16
info,registry,people,Yasir Ali Chowdhury,5791b840
info,registry,people,Zakir Hasan,e3e09091
