version,2.2.0
info,balls_per_over,6
info,team,St Helena
info,team,Malawi
info,gender,male
info,season,2022/23
info,date,2022/11/24
info,event,ICC Men's T20 World Cup Sub Regional Africa Qualifier
info,match_number,21
info,venue,Gahanga International Cricket Stadium. Rwanda
info,city,Kigali City
info,toss_winner,Malawi
info,toss_decision,field
info,player_of_match,Sami Sohail
info,umpire,BM White
info,umpire,Itangishaka Olivier
info,reserve_umpire,Patric Makumbi
info,match_referee,S Wadvalla
info,winner,Malawi
info,winner_wickets,10
info,player,St Helena,AR Leo
info,player,St Helena,A Langham
info,player,St Helena,A Yon
info,player,St Helena,J Henry
info,player,St Helena,R Francis
info,player,St Helena,S Crowie
info,player,St Helena,CR Richards
info,player,St Helena,DL Richards
info,player,St Helena,B Isaac
info,player,St Helena,BK Stroud
info,player,St Helena,G Johnson
info,player,Malawi,D Kansonkho
info,player,Malawi,Sami Sohail
info,player,Malawi,MA Baig
info,player,Malawi,C Chete
info,player,Malawi,M Choamba
info,player,Malawi,G Kansonkho
info,player,Malawi,GM Ntambalika
info,player,Malawi,B Pondani
info,player,Malawi,B Masauko
info,player,Malawi,D Jakiel
info,player,Malawi,A Limdawala
info,registry,people,A Langham,fe0b3bdf
info,registry,people,A Limdawala,2bcbcac3
info,registry,people,A Yon,99bf1fb7
info,registry,people,AR Leo,e13f8b16
info,registry,people,B Isaac,2c14421f
info,registry,people,B Masauko,47c66d8a
info,registry,people,B Pondani,e5117568
info,registry,people,BK Stroud,6577a6ad
info,registry,people,BM White,66c21d35
info,registry,people,C Chete,ef4f539a
info,registry,people,CR Richards,c10a581f
info,registry,people,D Jakiel,8b7ce771
info,registry,people,D Kansonkho,45ca12a7
info,registry,people,DL Richards,e613c509
info,registry,people,G Johnson,ceec82cd
info,registry,people,G Kansonkho,f3ca5af8
info,registry,people,GM Ntambalika,8c8a3f08
info,registry,people,Itangishaka Olivier,0ee3bb49
info,registry,people,J Henry,68e7e8d5
info,registry,people,M Choamba,5570c4c1
info,registry,people,MA Baig,89394502
info,registry,people,Patric Makumbi,e4c69c16
info,registry,people,R Francis,06b766f4
info,registry,people,S Crowie,4040951f
info,registry,people,S Wadvalla,c1a1acf3
info,registry,people,Sami Sohail,602ebd4c
