version,2.2.0
info,balls_per_over,6
info,team,Nepal
info,team,Namibia
info,gender,male
info,season,2023/24
info,date,2024/03/01
info,event,Nepal Tri-Nation T20I Series
info,match_number,4
info,venue,"Tribhuvan University International Cricket Ground, Kirtipur"
info,city,Kirtipur
info,toss_winner,Namibia
info,toss_decision,field
info,player_of_match,Kushal Malla
info,umpire,BB Pradhan
info,umpire,VK Jha
info,reserve_umpire,DN Subedi
info,match_referee,V Narayan Kutty
info,winner,Nepal
info,winner_runs,3
info,player,Nepal,AK Sah
info,player,Nepal,Aasif Sheikh
info,player,Nepal,RK Paudel
info,player,Nepal,Gulsan Jha
info,player,Nepal,Aarif Sheikh
info,player,Nepal,Kushal Malla
info,player,Nepal,DS Airee
info,player,Nepal,Karan KC
info,player,Nepal,Sompal Kami
info,player,Nepal,Pratis GC
info,player,Nepal,A Bohara
info,player,Namibia,M van Lingen
info,player,Namibia,MB Kruger
info,player,Namibia,JP Kotze
info,player,Namibia,JN Frylinck
info,player,Namibia,JJ Smit
info,player,Namibia,JN Loftie-Eaton
info,player,Namibia,R Trumpelmann
info,player,Namibia,ZE Green
info,player,Namibia,BM Scholtz
info,player,Namibia,JT Brassell
info,player,Namibia,B Shikongo
info,registry,people,A Bohara,64fb6b15
info,registry,people,AK Sah,5b1d6583
info,registry,people,Aarif Sheikh,cd4d7695
info,registry,people,Aasif Sheikh,dcbea954
info,registry,people,B Shikongo,c26cd57a
info,registry,people,BB Pradhan,8603d942
info,registry,people,BM Scholtz,e85d03d6
info,registry,people,DN Subedi,fb0a571f
info,registry,people,DS Airee,1747ea18
info,registry,people,Gulsan Jha,9811e35e
info,registry,people,JJ Smit,bb134e5c
info,registry,people,JN Frylinck,3c87f0c3
info,registry,people,JN Loftie-Eaton,f468293b
info,registry,people,JP Kotze,9f308dfc
info,registry,people,JT Brassell,537021f5
info,registry,people,Karan KC,f53b3e1d
info,registry,people,Kushal Malla,7e9f1cde
info,registry,people,M van Lingen,7eb36269
info,registry,people,MB Kruger,c51add25
info,registry,people,Pratis GC,c1077ba3
info,registry,people,R Trumpelmann,ff6a7ab5
info,registry,people,RK Paudel,1a3cc554
info,registry,people,S Jora,156378d8
info,registry,people,Sompal Kami,1adb8ee8
info,registry,people,V Narayan Kutty,4bacee3d
info,registry,people,VK Jha,5d46eb72
info,registry,people,ZE Green,8716233e
