version,2.2.0
info,balls_per_over,6
info,team,Indonesia
info,team,Singapore
info,gender,female
info,season,2024
info,date,2024/07/05
info,event,Indonesia Women's T20I Tri-Series
info,match_number,5
info,venue,Udayana Cricket Ground
info,city,Bali
info,toss_winner,Indonesia
info,toss_decision,bat
info,player_of_match,NLKWR Dewi
info,umpire,IGS Arsa
info,umpire,S Hawoe
info,reserve_umpire,V Kalidas
info,winner,Indonesia
info,winner_runs,86
info,player,Indonesia,NPAN Sakarini
info,player,Indonesia,NLKWR Dewi
info,player,Indonesia,NKF Rada Rani
info,player,Indonesia,NMP Suwandewi
info,player,Indonesia,M Corazon
info,player,Indonesia,KS Kasse
info,player,Indonesia,K Winda Prastini
info,player,Indonesia,RD Pangestuti
info,player,Indonesia,D Wulandari
info,player,Indonesia,NW Sariani
info,player,Indonesia,SAN Maypriani
info,player,Singapore,RR Seth
info,player,Singapore,Shafina Mahesh
info,player,Singapore,GK Diviya
info,player,Singapore,S Merican
info,player,Singapore,Vinu Kumar
info,player,Singapore,DA Galia
info,player,Singapore,Ananya Sarma
info,player,Singapore,LAR Bommareddy
info,player,Singapore,PSR Gurusinghe
info,player,Singapore,Damini Ramesh
info,player,Singapore,JS Pooranakaran
info,registry,people,Ananya Sarma,0bb03efc
info,registry,people,D Wulandari,8c0d904e
info,registry,people,DA Galia,ae0b5b95
info,registry,people,Damini Ramesh,c4480b25
info,registry,people,GK Diviya,992979fa
info,registry,people,IGS Arsa,68d52634
info,registry,people,JS Pooranakaran,417bde96
info,registry,people,K Winda Prastini,bd6f7c24
info,registry,people,KS Kasse,007a3773
info,registry,people,LAR Bommareddy,3da8cd3a
info,registry,people,M Corazon,0baa36e0
info,registry,people,NKF Rada Rani,39f4084c
info,registry,people,NLKWR Dewi,d04fc4a4
info,registry,people,NMP Suwandewi,52b57a65
info,registry,people,NPAN Sakarini,72b5decf
info,registry,people,NW Sariani,e910d955
info,registry,people,PSR Gurusinghe,591a7004
info,registry,people,RD Pangestuti,63fc4b92
info,registry,people,RR Seth,7ccc0a38
info,registry,people,S Hawoe,e773dfe5
info,registry,people,S Merican,f3f6f5a0
info,registry,people,SAN Maypriani,ad135bde
info,registry,people,Shafina Mahesh,0c40b02d
info,registry,people,V Kalidas,42d76418
info,registry,people,Vinu Kumar,3775b9f9
