version,2.2.0
info,balls_per_over,6
info,team,Cook Islands
info,team,Vanuatu
info,gender,female
info,season,2023
info,date,2023/09/04
info,event,ICC Women's T20 World Cup East Asia-Pacific Region Qualifier
info,match_number,6
info,venue,Vanuatu Cricket Ground (Oval 2)
info,city,Port Vila
info,toss_winner,Vanuatu
info,toss_decision,field
info,player_of_match,R Andrew
info,umpire,Ashlee Gibbons
info,umpire,Kim Cotton
info,reserve_umpire,K Tanuvasa
info,match_referee,RW Stratford
info,winner,Vanuatu
info,winner_wickets,8
info,player,Cook Islands,M Kaukura
info,player,Cook Islands,K Mataora
info,player,Cook Islands,P Maruariki
info,player,Cook Islands,J George
info,player,Cook Islands,Z Maeva
info,player,Cook Islands,D Kataina
info,player,Cook Islands,P Kaveao
info,player,Cook Islands,S Vaia
info,player,Cook Islands,T Mato
info,player,Cook Islands,T Touna
info,player,Cook Islands,S Samuels
info,player,Vanuatu,R Andrew
info,player,Vanuatu,V Langiatu
info,player,Vanuatu,N Navaika
info,player,Vanuatu,S Solman
info,player,Vanuatu,A Chilia
info,player,Vanuatu,V Mansale
info,player,Vanuatu,L Chilia
info,player,Vanuatu,M Carlot
info,player,Vanuatu,R Ova
info,player,Vanuatu,V Vira
info,player,Vanuatu,M Tarimiala
info,registry,people,A Chilia,a0d07fd6
info,registry,people,Ashlee Gibbons,b81712f7
info,registry,people,D Kataina,3a370f15
info,registry,people,J George,9044ee8e
info,registry,people,K Mataora,281cc1e8
info,registry,people,K Tanuvasa,34fa0472
info,registry,people,Kim Cotton,67a7c2ee
info,registry,people,L Chilia,87ac786c
info,registry,people,M Carlot,dac46b52
info,registry,people,M Kaukura,11d83c44
info,registry,people,M Tarimiala,0030a57d
info,registry,people,N Navaika,b0023708
info,registry,people,P Kaveao,f536e967
info,registry,people,P Maruariki,dee2431f
info,registry,people,R Andrew,66c1accf
info,registry,people,R Ova,88bba252
info,registry,people,RW Stratford,85489579
info,registry,people,S Samuels,d852095e
info,registry,people,S Solman,24ed1f75
info,registry,people,S Vaia,78103121
info,registry,people,T Mato,41f24f77
info,registry,people,T Touna,a7a337b9
info,registry,people,V Langiatu,fdd18ca0
info,registry,people,V Mansale,7163637f
info,registry,people,V Vira,94271647
info,registry,people,Z Maeva,34f0c9ad
