version,2.2.0
info,balls_per_over,6
info,team,Norway
info,team,Finland
info,gender,male
info,season,2024
info,date,2024/06/14
info,event,Nordic T20 Cup
info,match_number,1
info,venue,Kerava National Cricket Ground
info,city,Kerava
info,toss_winner,Finland
info,toss_decision,field
info,player_of_match,D Abeyrathna
info,umpire,Debasish Roy
info,umpire,S Samanta
info,reserve_umpire,SB Ravindra
info,winner,Norway
info,winner_runs,97
info,player,Norway,Raza Iqbal
info,player,Norway,Khizer Ahmed
info,player,Norway,Walid Ghauri
info,player,Norway,D Abeyrathna
info,player,Norway,Ali Saleem
info,player,Norway,Javed Maroofkhail
info,player,Norway,Sher Sahak
info,player,Norway,AJ Parmar
info,player,Norway,Wahidullah Sahak
info,player,Norway,Qamar Mushtaque
info,player,Norway,Chaudhary Akram
info,player,Finland,Ghulam Abbas Butt
info,player,Finland,VS Padhaal
info,player,Finland,Ziaur Rehman
info,player,Finland,Jordan O'Brien
info,player,Finland,NM Salonen
info,player,Finland,Atif Rasheed
info,player,Finland,Akhil Arjunan
info,player,Finland,Faheem Nellancheri
info,player,Finland,Amjad Sher
info,player,Finland,MB Tambe
info,player,Finland,Parveen Kumar
info,registry,people,AJ Parmar,94113d54
info,registry,people,Akhil Arjunan,2b203501
info,registry,people,Ali Saleem,661e8a03
info,registry,people,Amjad Sher,3b4a8cfb
info,registry,people,Atif Rasheed,c7726eec
info,registry,people,Chaudhary Akram,3e697d4a
info,registry,people,D Abeyrathna,ee17d329
info,registry,people,Debasish Roy,0da654c8
info,registry,people,Faheem Nellancheri,6513502f
info,registry,people,Ghulam Abbas Butt,cc796077
info,registry,people,Javed Maroofkhail,909d9fac
info,registry,people,Jordan O'Brien,c31d7da1
info,registry,people,Khizer Ahmed,723ca856
info,registry,people,MB Tambe,1c1bb0d5
info,registry,people,NM Salonen,f5bd70f2
info,registry,people,Parveen Kumar,babc65d3
info,registry,people,Qamar Mushtaque,fc362c5d
info,registry,people,Raza Iqbal,eee46f77
info,registry,people,S Samanta,733f759a
info,registry,people,SB Ravindra,394ba7a8
info,registry,people,Sher Sahak,8299b9a2
info,registry,people,VS Padhaal,c4fb0b39
info,registry,people,Wahidullah Sahak,6913e38e
info,registry,people,Walid Ghauri,331e137f
info,registry,people,Ziaur Rehman,085c1a4c
